AE-441-1-3
Integration time [ms]:  10,000
Averaging Nr. [scans]: 33
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: AvaSpec-ULS-TEC-EVO
Wave   ;Sample   ;Dark     ;Reference;Absorbance
[nm]   ;[counts] ;[counts] ;[counts] ;[A.U]

 179,38;   18,633;   -5,697;  183,271; 0,89024
 179,98;   19,388;   -6,394;  183,951; 0,86822
 180,58;   27,395;   -5,697;  195,359; 0,78359
 181,18;   19,986;   -5,727;  191,960; 0,88583
 181,78;   18,490;   -7,030;  187,049; 0,88109
 182,38;   18,307;   -5,879;  185,918; 0,89928
 182,97;   18,828;   -7,515;  192,438; 0,88026
 183,57;   17,943;   -7,576;  190,767; 0,89055
 184,17;   12,998;   -7,061;  190,457; 0,99330
 184,77;   12,389;   -8,667;  188,500; 0,97146
 185,37;    8,053;   -6,455;  189,724; 1,13106
 185,97;    6,044;   -6,152;  190,974; 1,20854
 186,57;    8,506;   -8,515;  192,472; 1,07218
 187,17;    5,360;   -5,970;  195,959; 1,25099
 187,77;   -7,685;   -7,424;  182,534; 5,00000
 188,37;    3,865;   -7,697;  192,077; 1,23752
 188,97;   -9,996;   -7,485;  185,852; 5,00000
 189,57;  -10,639;   -7,758;  190,202; 5,00000
 190,17;  -17,103;   -6,273;  186,389; 5,00000
 190,77;  -23,474;   -7,606;  186,496; 5,00000
 191,37;  -22,848;   -6,455;  187,462; 5,00000
 191,96;  -25,704;   -7,303;  189,901; 5,00000
 192,56;  -45,565;   -7,455;  177,583; 5,00000
 193,16;  -40,791;   -5,364;  188,529; 5,00000
 193,76;  -27,052;   -6,515;  210,966; 5,00000
 194,36;  -51,604;   -7,091;  187,436; 5,00000
 194,96;  -57,123;   -6,121;  191,774; 5,00000
 195,56;  -39,249;   -6,818;  212,295; 5,00000
 196,16;  -22,189;   -6,394;  234,356; 5,00000
 196,76;    3,104;   -6,970;  267,851; 1,43584
 197,36;    4,226;   -6,818;  274,036; 1,40535
 197,95;   16,858;   -5,576;  298,560; 1,13216
 198,55;    8,926;   -6,333;  310,541; 1,31735
 199,15;   16,994;   -7,030;  331,616; 1,14909
 199,75;   24,348;   -5,303;  377,558; 1,11100
 200,35;   12,612;   -7,576;  432,867; 1,33881
 200,95;   20,346;   -6,788;  530,427; 1,29663
 201,55;   18,967;   -6,818;  661,756; 1,41378
 202,15;   15,854;   -5,970;  827,626; 1,58202
 202,74;   25,332;   -5,848; 1038,464; 1,52495
 203,34;   19,397;   -7,303; 1260,095; 1,67640
 203,94;   31,279;   -6,000; 1507,388; 1,60849
 204,54;   21,195;   -6,000; 1737,034; 1,80682
 205,14;   27,618;   -6,939; 1976,846; 1,75896
 205,74;   25,325;   -6,212; 2214,693; 1,84771
 206,34;   24,207;   -6,212; 2463,438; 1,90950
 206,93;   30,054;   -5,576; 2711,067; 1,88222
 207,53;   28,251;   -5,545; 2975,980; 1,94556
 208,13;   24,779;   -7,697; 3226,451; 1,99819
 208,73;   33,552;   -6,000; 3520,691; 1,95020
 209,33;   22,002;   -6,424; 3847,814; 2,13223
 209,93;   32,227;   -6,182; 4213,379; 2,04084
 210,52;   30,629;   -6,576; 4598,400; 2,09262
 211,12;   39,067;   -6,121; 5043,692; 2,04825
 211,72;   37,393;   -4,667; 5515,708; 2,11810
 212,32;   38,228;   -6,515; 6010,661; 2,12866
 212,92;   37,341;   -6,152; 6494,608; 2,17455
 213,52;   35,919;   -6,061; 6943,747; 2,21893
 214,11;   36,276;   -5,606; 7322,643; 2,24297
 214,71;   42,325;   -5,000; 7558,727; 2,20364
 215,31;   36,080;   -6,061; 7472,132; 2,24910
 215,91;   46,431;   -5,879; 6942,027; 2,12327
 216,51;   37,088;   -4,576; 5755,033; 2,14063
 217,10;   33,182;   -5,030; 4118,990; 2,03312
 217,70;   29,641;   -5,364; 3361,560; 1,98311
 218,30;   38,585;   -5,333; 4972,892; 2,05443
 218,90;   35,886;   -6,212; 8297,274; 2,29499
 219,50;   51,272;   -3,939;11675,043; 2,32538
 220,09;   51,032;   -5,970;14367,909; 2,40168
 220,69;   54,208;   -5,000;16414,025; 2,44297
 221,29;   59,957;   -4,788;17914,641; 2,44212
 221,89;   51,080;   -6,242;19158,131; 2,52417
 222,49;   63,546;   -4,848;20175,232; 2,46990
 223,08;   63,598;   -5,727;21071,574; 2,48292
 223,68;   64,836;   -5,576;21915,307; 2,49321
 224,28;   62,818;   -4,515;22714,564; 2,52816
 224,88;   60,992;   -5,091;23471,271; 2,55054
 225,47;   61,293;   -3,939;24186,896; 2,56919
 226,07;   67,311;   -5,212;24963,004; 2,53691
 226,67;   65,572;   -4,121;25738,084; 2,56746
 227,27;   70,254;   -3,848;26517,816; 2,55377
 227,87;   67,621;   -4,394;27210,955; 2,57739
 228,46;   73,725;   -4,788;27974,336; 2,55189
 229,06;   69,914;   -4,091;28742,711; 2,58933
 229,66;   73,765;   -6,000;29454,549; 2,56743
 230,26;   72,603;   -3,970;30170,123; 2,59556
 230,85;   72,390;   -4,939;30845,266; 2,60091
