AE-441-2-2
Integration time [ms]:  10,000
Averaging Nr. [scans]: 33
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: AvaSpec-ULS-TEC-EVO
Wave   ;Sample   ;Dark     ;Reference;Absorbance
[nm]   ;[counts] ;[counts] ;[counts] ;[A.U]

 179,38;   15,113;   -5,697;  183,271; 0,95812
 179,98;   15,672;   -6,394;  183,951; 0,93581
 180,58;   24,055;   -5,697;  195,359; 0,82980
 181,18;   18,734;   -5,727;  191,960; 0,90750
 181,78;   14,547;   -7,030;  187,049; 0,95397
 182,38;   13,530;   -5,879;  185,918; 0,99484
 182,97;   15,562;   -7,515;  192,438; 0,93775
 183,57;   16,075;   -7,576;  190,767; 0,92356
 184,17;    8,661;   -7,061;  190,457; 1,09911
 184,77;    9,918;   -8,667;  188,500; 1,02569
 185,37;    5,610;   -6,455;  189,724; 1,21114
 185,97;    1,744;   -6,152;  190,974; 1,39737
 186,57;    5,108;   -8,515;  192,472; 1,16890
 187,17;    0,436;   -5,970;  195,959; 1,49866
 187,77;  -12,379;   -7,424;  182,534; 5,00000
 188,37;    0,260;   -7,697;  192,077; 1,39977
 188,97;  -14,629;   -7,485;  185,852; 5,00000
 189,57;  -11,236;   -7,758;  190,202; 5,00000
 190,17;  -20,473;   -6,273;  186,389; 5,00000
 190,77;  -20,189;   -7,606;  186,496; 5,00000
 191,37;  -26,940;   -6,455;  187,462; 5,00000
 191,96;  -28,342;   -7,303;  189,901; 5,00000
 192,56;  -49,996;   -7,455;  177,583; 5,00000
 193,16;  -41,535;   -5,364;  188,529; 5,00000
 193,76;  -32,191;   -6,515;  210,966; 5,00000
 194,36;  -53,536;   -7,091;  187,436; 5,00000
 194,96;  -56,218;   -6,121;  191,774; 5,00000
 195,56;  -40,220;   -6,818;  212,295; 5,00000
 196,16;  -20,046;   -6,394;  234,356; 5,00000
 196,76;   -2,154;   -6,970;  267,851; 1,75637
 197,36;    3,005;   -6,818;  274,036; 1,45623
 197,95;   15,501;   -5,576;  298,560; 1,15925
 198,55;    8,271;   -6,333;  310,541; 1,33641
 199,15;   12,623;   -7,030;  331,616; 1,23630
 199,75;   19,281;   -5,303;  377,558; 1,19239
 200,35;   10,305;   -7,576;  432,867; 1,39150
 200,95;   17,688;   -6,788;  530,427; 1,34141
 201,55;   14,052;   -6,818;  661,756; 1,50562
 202,15;   12,142;   -5,970;  827,626; 1,66300
 202,74;   20,967;   -5,848; 1038,464; 1,59044
 203,34;   16,084;   -7,303; 1260,095; 1,73394
 203,94;   26,895;   -6,000; 1507,388; 1,66282
 204,54;   18,282;   -6,000; 1737,034; 1,85602
 205,14;   26,424;   -6,939; 1976,846; 1,77423
 205,74;   19,088;   -6,212; 2214,693; 1,94341
 206,34;   19,680;   -6,212; 2463,438; 1,97947
 206,93;   23,257;   -5,576; 2711,067; 1,97415
 207,53;   22,590;   -5,545; 2975,980; 2,02519
 208,13;   21,846;   -7,697; 3226,451; 2,03931
 208,73;   28,138;   -6,000; 3520,691; 2,01413
 209,33;   17,964;   -6,424; 3847,814; 2,19875
 209,93;   26,682;   -6,182; 4213,379; 2,10855
 210,52;   25,833;   -6,576; 4598,400; 2,15257
 211,12;   32,732;   -6,121; 5043,692; 2,11384
 211,72;   29,865;   -4,667; 5515,708; 2,20375
 212,32;   30,609;   -6,515; 6010,661; 2,20974
 212,92;   28,591;   -6,152; 6494,608; 2,27210
 213,52;   30,637;   -6,061; 6943,747; 2,27733
 214,11;   26,091;   -5,606; 7322,643; 2,36397
 214,71;   35,186;   -5,000; 7558,727; 2,27466
 215,31;   28,242;   -6,061; 7472,132; 2,33847
 215,91;   38,357;   -5,879; 6942,027; 2,19608
 216,51;   30,806;   -4,576; 5755,033; 2,21162
 217,10;   24,973;   -5,030; 4118,990; 2,13815
 217,70;   24,393;   -5,364; 3361,560; 2,05365
 218,30;   31,688;   -5,333; 4972,892; 2,12863
 218,90;   29,833;   -6,212; 8297,274; 2,36241
 219,50;   43,368;   -3,939;11675,043; 2,39247
 220,09;   41,778;   -5,970;14367,909; 2,47862
 220,69;   48,019;   -5,000;16414,025; 2,49092
 221,29;   48,747;   -4,788;17914,641; 2,52468
 221,89;   40,102;   -6,242;19158,131; 2,61649
 222,49;   51,579;   -4,848;20175,232; 2,55343
 223,08;   52,217;   -5,727;21071,574; 2,56081
 223,68;   56,778;   -5,576;21915,307; 2,54600
 224,28;   51,378;   -4,515;22714,564; 2,60903
 224,88;   54,319;   -5,091;23471,271; 2,59677
 225,47;   52,635;   -3,939;24186,896; 2,63103
 226,07;   57,852;   -5,212;24963,004; 2,59760
 226,67;   55,667;   -4,121;25738,084; 2,63403
 227,27;   62,109;   -3,848;26517,816; 2,60434
 227,87;   56,712;   -4,394;27210,955; 2,64873
 228,46;   62,442;   -4,788;27974,336; 2,61927
 229,06;   56,696;   -4,091;28742,711; 2,67478
 229,66;   66,882;   -6,000;29454,549; 2,60662
 230,26;   65,302;   -3,970;30170,123; 2,63908
 230,85;   62,163;   -4,939;30845,266; 2,66252
