
Integration time [ms]:  11,000
Averaging Nr. [scans]: 1000
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: AvaSpec-ULS-TEC-EVO
Wave   ;Sample   ;Dark     ;Reference;Absorbance
[nm]   ;[counts] ;[counts] ;[counts] ;[A.U]

 199,75;   -6,789;   -7,610;  408,413; 2,70484
 200,35;  -23,020;   -6,650;  461,019; 5,00000
 200,95;  -13,780;   -6,500;  572,433; 5,00000
 201,55;  -13,907;   -7,550;  721,237; 5,00000
 202,15;  -16,299;   -5,680;  912,907; 5,00000
 202,74;   -1,019;   -6,750; 1162,795; 2,30980
 203,34;  -11,574;   -6,370; 1409,762; 5,00000
 203,94;    8,433;   -6,190; 1704,539; 2,06813
 204,54;  -10,977;   -6,840; 1963,771; 5,00000
 205,14;    2,621;   -5,520; 2264,726; 2,44539
 205,74;   -5,219;   -7,320; 2540,928; 3,08391
 206,34;   -3,517;   -6,790; 2830,360; 2,93792
 206,93;    0,394;   -6,150; 3121,818; 2,67941
 207,53;   -3,767;   -7,420; 3420,364; 2,97241
 208,13;   -6,752;   -5,210; 3737,668; 5,00000
 208,73;    3,453;   -6,190; 4103,419; 2,62957
 209,33;  -14,746;   -7,180; 4478,250; 5,00000
 209,93;    1,385;   -5,330; 4921,618; 2,86555
 210,52;   -3,500;   -7,370; 5377,038; 3,14342
 211,12;   11,355;   -5,510; 5905,566; 2,54468
 211,72;    1,770;   -5,910; 6463,962; 2,92552
 212,32;    4,284;   -6,570; 7030,638; 2,81180
 212,92;   -1,133;   -4,700; 7601,841; 3,32894
 213,52;   -0,129;   -6,600; 8113,864; 3,09860
 214,11;   -1,096;   -6,450; 8546,407; 3,20344
 214,71;    9,657;   -4,760; 8801,453; 2,78590
 215,31;   -4,068;   -7,350; 8696,053; 3,42350
 215,91;   19,046;   -4,940; 8098,034; 2,52868
 216,51;    1,905;   -5,970; 6693,250; 2,92976
 217,10;    2,934;   -6,450; 4804,312; 2,70984
 217,70;   -6,520;   -5,130; 3887,019; 5,00000
 218,30;    9,155;   -7,120; 5731,179; 2,54725
 218,90;   -1,935;   -5,150; 9562,581; 3,47369
 219,50;   11,243;   -5,290;13499,140; 2,91213
 220,09;   13,447;   -6,390;16668,432; 2,92458
 220,69;   12,606;   -5,440;19050,957; 3,02366
 221,29;   14,529;   -6,330;20844,947; 2,99984
 221,89;   -4,958;   -4,960;22241,555; 5,00000
 222,49;   13,644;   -5,440;23453,451; 3,08964
 223,08;   16,111;   -5,970;24478,604; 3,04487
 223,68;   20,436;   -4,170;25444,168; 3,01462
 224,28;    6,481;   -6,220;26352,525; 3,31708
 224,88;   10,665;   -5,510;27245,875; 3,22654
 225,47;    6,653;   -4,450;28111,795; 3,40350
 226,07;   18,528;   -5,830;29020,199; 3,07615
 226,67;   12,246;   -4,240;29913,670; 3,25883
 227,27;   18,764;   -5,710;30811,223; 3,10009
 227,87;   13,319;   -4,870;31687,729; 3,24116
 228,46;   20,980;   -4,900;32598,400; 3,10029
 229,06;   11,605;   -6,570;33506,809; 3,26575
 229,66;   24,698;   -4,660;34377,777; 3,06861
 230,26;   13,816;   -5,000;35177,184; 3,27180
 230,85;    8,250;   -5,580;35950,422; 3,41494
 231,45;   12,842;   -4,490;36775,180; 3,32677
 232,05;   22,206;   -6,370;37517,605; 3,11831
 232,64;   12,789;   -4,790;38159,230; 3,33667
 233,24;    9,293;   -5,110;38771,480; 3,43012
 233,84;    6,844;   -6,210;39309,922; 3,47882
 234,44;   20,204;   -4,430;39791,742; 3,20832
 235,03;    2,734;   -5,860;40116,453; 3,66918
 235,63;   21,520;   -4,970;40446,324; 3,18385
 236,23;   41,860;   -5,080;40735,605; 2,93849
 236,83;   45,827;   -5,640;40923,809; 2,90050
 237,42;   53,075;   -4,800;41190,965; 2,85236
 238,02;   42,359;   -5,610;41401,422; 2,93611
 238,62;   76,605;   -5,730;41609,508; 2,70367
 239,21;   85,557;   -4,690;41762,191; 2,66540
 239,81;  104,901;   -6,220;41922,590; 2,57672
 240,41;  122,520;   -4,500;42056,629; 2,52001
 241,00;  146,674;   -5,000;42133,191; 2,44377
 241,60;  172,790;   -6,510;42138,082; 2,37116
 242,20;  211,865;   -4,760;42147,117; 2,28911
 242,80;  245,910;   -6,050;42137,734; 2,22340
 243,39;  299,890;   -4,920;42172,176; 2,14105
 243,99;  330,378;   -5,200;42110,297; 2,09865
 244,59;  386,018;   -7,180;42073,363; 2,02947
 245,18;  440,851;   -4,350;42045,070; 1,97520
 245,78;  498,225;   -5,950;42013,676; 1,92087
 246,38;  566,289;   -5,780;42006,480; 1,86593
 246,97;  655,404;   -5,370;42074,957; 1,80403
 247,57;  735,587;   -6,210;42079,844; 1,75385
 248,17;  817,698;   -4,510;42124,336; 1,70960
 248,76;  901,342;   -5,410;42256,742; 1,66846
 249,36; 1006,105;   -6,240;42343,125; 1,62152
 249,96; 1106,511;   -5,030;42558,926; 1,58312
 250,55; 1229,335;   -6,820;42789,395; 1,53933
 251,15; 1331,256;   -4,930;42937,875; 1,50702
