Wavenumbercm-1,00:02:32,00:05:32,00:08:32,00:11:32,00:14:32,00:30:55,00:33:54,00:36:55,00:39:55,00:42:55,00:45:55,00:48:55,00:51:55,00:54:55,00:57:54,01:00:55,01:03:55,01:06:55,01:09:55,01:12:55,01:15:55,01:18:55,01:21:56,01:24:56,01:27:55,01:30:55,01:37:04,01:40:04,01:43:04,01:46:04
3000,0.0006230976113967487,0.00012649699948995285,-0.00024345799047714722,-0.0006444513453065445,-0.001314026142613646,-0.0006560536602423506,-0.0009946515644459475,-0.0007062624176217489,-0.00140526819220195,-0.001425958311091248,-0.001598590494763047,-0.0019233138127446453,-0.0023519430819654505,-0.0024560119935573485,-0.0030638567093757493,-0.0029906849413579503,-0.0031452680220394463,-0.00315289742885555,-0.003550169969186147,-0.003730616409397751,-0.004128268485741951,-0.004098983777879046,-0.004555157953821248,-0.004731422053612946,-0.004984039893424046,-0.005233281626167145,-0.00825071621895785,-0.001610783943943546,0.0016944357477132535,0.00145234086751065
2998,0.0006618694648399745,7.389326637487204e-05,-0.00024391437671102828,-0.0006645935123985244,-0.0013695764875066227,-0.0004885934846949255,-0.0009033731151928265,-0.000600430935610928,-0.0012617038703225253,-0.0013314024496255267,-0.001332580271098928,-0.0019022475450012274,-0.0022770472883918286,-0.0023833804441785247,-0.0029722471524200253,-0.0028596825148720223,-0.0031002669529999263,-0.0029826187361000275,-0.0034834878156890237,-0.003572493286110423,-0.003992036984557523,-0.004105949243340325,-0.004439242688868028,-0.0046406427843740244,-0.0047958390222861275,-0.005091949864649628,-0.008170316665787526,-0.0014749255805879269,0.001701233525239071,0.0015423216454013775
2996,0.0007060413975648744,6.297901516907206e-05,-0.00027364502556142395,-0.0007411159056240277,-0.001405580265257625,-0.0003397965605644246,-0.000759855379662229,-0.0005550134131352275,-0.001078743707198529,-0.0013424502393431237,-0.0011705760428853268,-0.0018912574243342278,-0.0021782177714126244,-0.002331649884139128,-0.00292466139051073,-0.0028427662248003277,-0.003041938289630425,-0.0028690670716211286,-0.003442313978374724,-0.003482877745089527,-0.0038793035304271264,-0.0041722405757624245,-0.004431004037936524,-0.004601001687195225,-0.004685958671778727,-0.004926570249241424,-0.008166927241342624,-0.0013350203551601297,0.0017313922323440728,0.0016513207837091717
2994,0.0007231303848124204,4.4333331573720436e-05,-0.0003166105975861769,-0.0008564869404266776,-0.001380321134270182,-0.00018280663018847843,-0.0005521297742891798,-0.0005398849810997822,-0.0008812874910958807,-0.0013823539802441803,-0.0011292373998252753,-0.0018394162723373783,-0.002057647435906279,-0.0022412042076176766,-0.0028722220549596764,-0.0028697996575906756,-0.0029362601974939756,-0.0028196203598679775,-0.00336888499516258,-0.0034143982202209794,-0.003785176933328277,-0.004206948400941275,-0.004451735431116481,-0.004583120042922079,-0.00461765812739888,-0.004792087657538378,-0.008193925276471475,-0.0012527007385173816,0.001842155835978819,0.0017859549558969234
2992,0.00071759966642123,-2.6540785410165968e-05,-0.0003442951433695676,-0.0009737842945786654,-0.0013286677426656707,-3.5188032916570744e-05,-0.00034588370931967066,-0.0005250270839017648,-0.0007112935563489686,-0.00134934625668897,-0.0011448047747697684,-0.0017402535638711691,-0.0019339870441438672,-0.002124072133746567,-0.0027558557519460694,-0.0028241179333068703,-0.002777879703295169,-0.002787344171008066,-0.0032552134788936676,-0.0033135556651894688,-0.003695707556986269,-0.004166061242007364,-0.004387253565689565,-0.004522690091830268,-0.004549777612040964,-0.004699489007896268,-0.008152402649712169,-0.0012018867710328687,0.0020418425621323358,0.0019556882996028327
2990,0.0007136292530078303,-0.00013791826987546996,-0.0003533888321262668,-0.0010370529755791696,-0.001306880667450265,8.352574601823426e-05,-0.00021666980825246762,-0.00046626909216356677,-0.0005906533903658681,-0.0012212413592765647,-0.0011280558415794686,-0.0016388649458640644,-0.001819905712710665,-0.0020581552803003653,-0.0026026114413676693,-0.0026592290204026647,-0.0026054989811140697,-0.002729206620692065,-0.0031578198199851693,-0.0031942765215622684,-0.003600922227908969,-0.004054194810825168,-0.004234035446374067,-0.004400592756943468,-0.004471598854166266,-0.004605967585708769,-0.008010967440881166,-0.001117954693621366,0.0022571994373851365,0.002121611492023334
2988,0.0007142803591191002,-0.0002180109635726013,-0.000379424993584801,-0.0010013725184472022,-0.001321127555637104,0.00019455725031349708,-0.0001484067609773057,-0.0003467262005194052,-0.0005111717915621053,-0.0010763084696468056,-0.0010437052434171049,-0.001586798736873403,-0.0017509887083628044,-0.002088315672361403,-0.0024903799154577036,-0.0024573840093824045,-0.0024629178784711034,-0.002655002508021604,-0.003127775121741304,-0.003099339284150203,-0.003503360705914404,-0.003918472881784905,-0.004084228980890805,-0.004278387214636404,-0.004397918901134702,-0.004485843416463502,-0.007847287259293002,-0.0010119720484054046,0.0023754248699573988,0.0022056556721225945
2986,0.0006965109009966809,-0.00019848701808031916,-0.0004352911171686194,-0.0008801175689637161,-0.001353213667691918,0.0003168669052304833,-6.431893578091874e-05,-0.00022519897312491682,-0.0004612922973077187,-0.0009831505508148194,-0.0009302302647906172,-0.0015647463942071171,-0.001765029131263817,-0.002160679274087217,-0.0024290732721547192,-0.002342761907796219,-0.0023435797885773164,-0.0026039708350935192,-0.0031341285756710177,-0.003019281218803918,-0.003423955701122916,-0.003822196995666917,-0.003982720523516118,-0.004209407384692217,-0.004341091377976919,-0.004359461617656019,-0.007759368099182717,-0.0009659790974937167,0.0023435868606390825,0.002170598470907885
2984,0.0006588622955110701,-9.05952875760313e-05,-0.00047323223582783,-0.0007435172192886315,-0.0014177647801986298,0.0004140331777042691,4.8833283328268695e-05,-0.00017866725385093027,-0.0004344835377411288,-0.0009272568462479307,-0.0008580796994909316,-0.0014971736783616317,-0.001834617431366932,-0.0021912096242750305,-0.0023545540698301295,-0.0023489292966263307,-0.00221949998547483,-0.002586914623339629,-0.003099827013394129,-0.00292980520568133,-0.0033857768500479314,-0.0037893505637908304,-0.0038974390829069304,-0.004172796152797132,-0.004286676595029529,-0.00425060477950923,-0.007765159968873132,-0.001024928766686431,0.002228878741423069,0.00206624722738007
2982,0.0006440796784273513,4.68574082555101e-06,-0.0004504038494649483,-0.0006681632033527507,-0.0015142690653453493,0.00043358102797024997,0.00013796630085085096,-0.000195623454744151,-0.00040794440294094833,-0.00087178932347785,-0.0008708342197516483,-0.00136780859980095,-0.0018616591375117501,-0.0021609505040574503,-0.002252500240471949,-0.002392786663916551,-0.002112311856114449,-0.0025615789114115488,-0.0030012374579234495,-0.002862739677437349,-0.0033840010116173505,-0.00378545124289955,-0.0038019285075350483,-0.004138861304523751,-0.0042054837081903496,-0.004165638298911849,-0.007800324741061251,-0.001135253981783449,0.0021583889391309508,0.0019840706989101495
