Wavenumbercm-1,02:32:59,02:36:01,02:39:01,02:42:01,02:45:01,02:48:01,02:51:01,02:54:01,02:57:01,03:00:01,03:03:01,03:06:01,03:09:01,03:12:01,03:15:01,03:18:01,03:21:01,03:24:01,03:27:01,03:30:01,03:33:01,03:36:01,03:39:01,03:42:02,03:45:00,03:48:01,03:51:01,03:54:01,03:57:01,04:00:01,04:03:01,04:06:01,04:09:01
3000,-0.0265897410297265,-0.0275397471150747,-0.0278719749723835,-0.028425872604935,-0.0281750158074197,-0.0278646228009301,-0.0253562454085808,-0.0235043897401354,-0.0232035078364872,-0.0228028409842823,-0.0230914456678764,-0.0232948588486398,-0.0227906193964366,-0.0229141326400316,-0.0230741909323443,-0.0231103552720233,-0.0233182204118044,-0.0234426034747234,-0.0239001827737731,-0.0244337504108221,-0.0245487126897957,-0.0250712609739613,-0.0249140776116,-0.0253237289875717,-0.0259059068085156,-0.0257164831419094,-0.0260552000470914,-0.0263656409175047,-0.026829738844484,-0.0250330966583092,-0.0210294407698185,-0.0219844691073521,-0.0221509377056271
2998,-0.0261283509293792,-0.0269730690345061,-0.0275376765073795,-0.0280423562199858,-0.0277254398546194,-0.0273337189288374,-0.0249354771173632,-0.0229351189361584,-0.02264167662563,-0.0221817117677232,-0.0227208294981384,-0.0229223222320018,-0.0223791984721262,-0.0226654202273502,-0.0226186918232167,-0.0227760683361968,-0.0227909327598128,-0.0231126385050658,-0.0234921937315757,-0.0240327967107184,-0.0242224219105625,-0.0246520615148169,-0.0245100245038856,-0.0249915283899168,-0.0255277714828104,-0.0254229613039647,-0.0256550884022685,-0.0261212831397281,-0.0266686978930164,-0.0246900374568744,-0.0207628939036216,-0.0216857045498545,-0.0218772899753011
2996,-0.0255906475815514,-0.0263475461427762,-0.0271010932506682,-0.0275223858205227,-0.0272072766346794,-0.0269324653624558,-0.0243994626628791,-0.0222698288935235,-0.0220082046591719,-0.0214932819678027,-0.0222132318336029,-0.022543952437427,-0.0220551157387786,-0.0224199136735257,-0.02225072680131,-0.022353083900117,-0.0222827129534973,-0.0227650544868147,-0.0230126587266118,-0.0235172358243393,-0.0238088796429287,-0.0241427306471158,-0.0241595166302328,-0.0246175008598197,-0.0250130782004047,-0.025063293675709,-0.025281521920583,-0.0257743201388828,-0.026338723213897,-0.0242680870702397,-0.020431549040873,-0.0214483987410581,-0.0214955505568869
2994,-0.0250666506408988,-0.0258995551620119,-0.0266772341005626,-0.0270186239307215,-0.026788435710897,-0.0267308344543563,-0.0239302420027472,-0.0217796119737365,-0.0215298397850143,-0.0209764556029218,-0.0216878185839043,-0.0222088064115551,-0.021831716758004,-0.0222073446567745,-0.0220824869356999,-0.022009050089281,-0.0219589373281989,-0.0224765759767566,-0.0226279917412614,-0.0231028635428835,-0.0234861464108556,-0.0237722998162192,-0.0239663096338368,-0.0243056653506169,-0.0245702175849524,-0.024705877457614,-0.0250303427845392,-0.0254459671742237,-0.0259799332774181,-0.0239203723408847,-0.020161140270897,-0.021316399904881,-0.0211743618069083
2992,-0.0246862871572944,-0.0257054934609913,-0.0263919172430878,-0.0266309818146803,-0.0265833480696308,-0.0266622881268559,-0.0236857790646406,-0.0215316995406731,-0.021263618438471,-0.0207132138224457,-0.0212581851299517,-0.0219331424412317,-0.0216331966265733,-0.0220018620077133,-0.0220270250854681,-0.0218182594374093,-0.0218122435779738,-0.0222980320037615,-0.0224737731048433,-0.02288421702723,-0.0232889918255794,-0.0235620724577897,-0.0238411306576166,-0.0240583055119424,-0.0243229735701087,-0.0244348471025915,-0.0248877663155615,-0.0252343100164226,-0.0257778892669112,-0.0237231511853959,-0.0200381441937669,-0.0212526749238166,-0.0210525034146471
2990,-0.0245038491711427,-0.02563956207763,-0.0262540179806386,-0.0263703604191329,-0.0265455870164373,-0.0265613441470959,-0.0236900180050506,-0.0214232782763465,-0.0211299964540703,-0.0206381222688302,-0.0210040113254553,-0.0217313634808145,-0.0214143791706624,-0.0217528281577902,-0.021950554184056,-0.0216847403201275,-0.0217386360634107,-0.0222157532467759,-0.0225242605800111,-0.0227924200638299,-0.0231560579755155,-0.0233911404932868,-0.0236908463352992,-0.0238582515364063,-0.0242447601213699,-0.0242913025867308,-0.0247484045638674,-0.0251398898685181,-0.0257361752889798,-0.0236254791210536,-0.0200303449576998,-0.0212310204876851,-0.0210999313531299
2988,-0.0244546649978711,-0.0255576976884406,-0.0261736762889707,-0.0262258122719756,-0.0265421421406702,-0.026340817619308,-0.0238088756743645,-0.0213556803340225,-0.0210500187453209,-0.0206699461477185,-0.0209222249599369,-0.0216184893064403,-0.0212304760055183,-0.0214841951545063,-0.0218449290794026,-0.0215010873872152,-0.0216539130283602,-0.0221734848198386,-0.0226341609085215,-0.0227407347175129,-0.023080229244506,-0.0232239245951829,-0.0235356284547259,-0.0237427006565031,-0.0242225110796216,-0.0242415742760709,-0.0245715273897839,-0.0251037029678333,-0.0257281804433204,-0.0235568650547841,-0.0200139980126437,-0.021228979287633,-0.0211544477150624
2986,-0.0243976214777426,-0.0254216140974562,-0.0260616159560175,-0.0261644769920214,-0.0264837385749961,-0.0260723547728361,-0.0238247868609852,-0.0212841297322957,-0.020970950874024,-0.0207428517952494,-0.0208886714079805,-0.0215387305374118,-0.0211353159424262,-0.0212669373677461,-0.0217696218046769,-0.0212859531783212,-0.0215062377410015,-0.0220800108674227,-0.0226393289463085,-0.0227140655157611,-0.0230695894911339,-0.0231221930618477,-0.0233853021248341,-0.0236890553737654,-0.0241564827563284,-0.0241833714049644,-0.0244346167543757,-0.0250396621414658,-0.0256841134789529,-0.0234921472748702,-0.0198884452306935,-0.0211537730757359,-0.0210830781662301
2984,-0.0242171580044423,-0.025261241255129,-0.025888095292685,-0.0260904544608925,-0.0263457696066787,-0.0258390015888087,-0.0236240011045317,-0.0211808845598828,-0.0208492385044976,-0.0207780884160685,-0.0207562436961241,-0.0214045387882096,-0.0210819307961047,-0.0211183409305051,-0.0217129043229848,-0.0211164723028367,-0.0212734286888822,-0.0218650510615201,-0.0224773052269581,-0.0227133709721404,-0.0230447648051251,-0.0230831665820759,-0.0231583142234592,-0.0235588694388122,-0.0240047564657046,-0.0240185453557118,-0.0243850093438833,-0.0248631946928958,-0.0255977300842618,-0.0234026480740251,-0.0196675760470765,-0.0209218161332217,-0.020880323478598
2982,-0.023958890319529,-0.0251420706592239,-0.0257107764989307,-0.025964416161919,-0.0261719216055836,-0.0256694780598952,-0.0233419587053981,-0.0210985930616822,-0.0207429993476751,-0.0207582785322338,-0.0205646686805456,-0.0212658494572872,-0.0210448359226766,-0.0210442377376369,-0.0216678428785597,-0.0210321086872392,-0.0210561253533129,-0.0216160593555375,-0.0222990706031653,-0.0227301465484452,-0.0229661182444307,-0.0230687629330957,-0.0228705390468186,-0.0233102923506728,-0.0238340629006961,-0.0238019995843406,-0.0244040005703089,-0.0246305751402328,-0.0254681294318335,-0.0232818096608005,-0.0195027548359426,-0.0206625009465836,-0.0206834426774912
