Wavenumbercm-1,2.72e+01 M,2.18e+01 M,1.81e+01 M,1.36e+01 M,1.09e+01 M,9.07e+00 M,6.80e+00 M,5.44e+00 M,4.53e+00 M,3.63e+00 M,2.72e+00 M
3000,-0.027455439155466402,-0.023150546057195322,-0.022999870295036,-0.023167588872057332,-0.023925512219772866,-0.024844683758452335,-0.025648706312665567,-0.02621042048229805,-0.0259314177513966,-0.0215069549385853,-0.0221509377056271
2998,-0.027009248030201452,-0.0226198342069125,-0.0226556469771594,-0.022728564306408766,-0.02354587631578663,-0.024461502643088332,-0.0253140870588973,-0.0258881857709983,-0.0256793676749454,-0.021224299226738047,-0.0218772899753011
2996,-0.02651539762013425,-0.02199613683852525,-0.022339660616577096,-0.022295507884974766,-0.023098316345921934,-0.0240370423067591,-0.024897957578644467,-0.0255279210297329,-0.02530340514206835,-0.020939973890965552,-0.0214955505568869
2994,-0.026117034024680498,-0.021493431486394224,-0.022082622608777868,-0.022016824784393266,-0.0227358104203005,-0.02374158528697053,-0.024527253464394435,-0.02523815497938145,-0.024950152809151402,-0.020738770087889,-0.0211743618069083
2992,-0.0258905992689519,-0.021191679232885376,-0.02185606702517277,-0.021885842700283733,-0.0225520073786116,-0.023564064980328564,-0.024272042061547535,-0.025061038165992047,-0.024750520226153552,-0.02064540955879175,-0.0210525034146471
2990,-0.025791827396929173,-0.021048852081175577,-0.021632856936422366,-0.021791310189198065,-0.022510811296872296,-0.02341268160136717,-0.024131438081502334,-0.02494414721619275,-0.0246808272050167,-0.020630682722692452,-0.0210999313531299
2988,-0.025729411926579574,-0.0209994675467497,-0.021444386822154965,-0.021666643164992668,-0.022516126815291,-0.0232799274314716,-0.024068928670731866,-0.0248376151788086,-0.02464252274905225,-0.02062148865013835,-0.0211544477150624
2986,-0.025636339300209702,-0.0209716509523874,-0.021313661282528037,-0.021520604241333202,-0.02247780177649743,-0.0231923615592719,-0.02400963651168607,-0.02473713944792075,-0.02458813037691155,-0.0205211091532147,-0.0210830781662301
2984,-0.0254748066902279,-0.02089111379414325,-0.0212016035049398,-0.021367601771567896,-0.022351909086872863,-0.0230954152035534,-0.023860723753409533,-0.02462410201838955,-0.02450018907914345,-0.0202946960901491,-0.020880323478598
2982,-0.025286943633198975,-0.020791134905534175,-0.0211183077058669,-0.021252025639703936,-0.022215092169049332,-0.022968473408115,-0.023648784945236496,-0.02451728785527085,-0.024374969546317002,-0.0200826278912631,-0.0206834426774912
2980,-0.025189787716517226,-0.020797700798678823,-0.021141175236457834,-0.021254370049493303,-0.022208451866149236,-0.0229215748301695,-0.023530262269445833,-0.024508888095546702,-0.0242736232404358,-0.0200805691787894,-0.0206618807524819
2978,-0.02521631651099045,-0.02091746230889275,-0.021245646246183834,-0.021353841997162434,-0.02232763875788597,-0.023012459703329366,-0.023576495121991267,-0.02461349622957355,-0.02427561741559375,-0.0202656173993747,-0.0208254700845732
2976,-0.02524280087558655,-0.020970320247651098,-0.021263301563658268,-0.021382410242502436,-0.022382720898545202,-0.023101302791645,-0.023667072678369438,-0.024683379430565353,-0.02435245376221535,-0.02039563209841705,-0.0209936657152337
2974,-0.025166958784390348,-0.0208315471529291,-0.0211156469911044,-0.0212498691453037,-0.02227517015436567,-0.0230500112598401,-0.0236883849582476,-0.02461181463058645,-0.024401431246491148,-0.020342277468065252,-0.0210011537833151
2972,-0.02504456316271935,-0.0206015504691869,-0.020942615688618438,-0.021077975392932168,-0.022140952372341333,-0.0229257698961688,-0.023682020448575935,-0.024491271064999952,-0.0243808837681395,-0.020223852175675648,-0.0208498384548431
2970,-0.024957294463634802,-0.0204224898259864,-0.020876061392762033,-0.02098689883525823,-0.0220844049819868,-0.022848983491201864,-0.02368722315898113,-0.02443688233844865,-0.024318749966581503,-0.020134750090435652,-0.0206350263256686
2968,-0.024897998200563324,-0.02031789989715745,-0.020879949325218333,-0.020949216272899533,-0.022023046707847337,-0.022819983945578232,-0.023650814972828404,-0.02443443499888535,-0.02426578217637805,-0.0200286678465018,-0.0204674400581177
2966,-0.024836823210835,-0.02027150077341185,-0.02088891976983273,-0.02092024489518397,-0.0219094528978674,-0.022802879450940405,-0.0235697599391626,-0.0244361326399589,-0.0242620496271407,-0.0199185761595448,-0.0204540763989322
2964,-0.0247552714220898,-0.020259869091517425,-0.020893723832761963,-0.020903788040266703,-0.02184106240898807,-0.02279499822550597,-0.023508029821245766,-0.024423236796032248,-0.02425955931048375,-0.019890481388166,-0.0205705968804207
2962,-0.024655333480595128,-0.0202305141539543,-0.020884748943611402,-0.020901501792253734,-0.0218868732497557,-0.0227936210648223,-0.0234743050076467,-0.02438410665138355,-0.0241709400540489,-0.01992421326548785,-0.0206576796941284
2960,-0.0245943244127226,-0.0201743228586302,-0.0208522714737945,-0.020922477400653467,-0.021985991100354697,-0.022802269417445602,-0.023426872846483367,-0.0243350791694819,-0.02401891450390925,-0.01992065589820495,-0.0206417488039989
2958,-0.024660957402941375,-0.020191228508188674,-0.020847563542707268,-0.02102041197416223,-0.022062494938191235,-0.0228634872661221,-0.023385780031068035,-0.02435137572463635,-0.023940809184480702,-0.019884740769908052,-0.020637030288433
2956,-0.02485533062986745,-0.020360562525677327,-0.0209267101205025,-0.021210226166119433,-0.022128755428757804,-0.022991115582180366,-0.02342084701797653,-0.0244828058657797,-0.0239998057053899,-0.01990494674588795,-0.0207448599771175
2954,-0.025039526137943576,-0.0205680447269539,-0.021007520592975337,-0.021356063536115633,-0.02218792302854727,-0.023071747753173468,-0.023494589482109533,-0.02461236399942625,-0.02405805446368495,-0.019936008339735002,-0.0208402030285811
2952,-0.025137992384355125,-0.020677069349867676,-0.02100317352973857,-0.0213669280199151,-0.022229235047856465,-0.023021288731175867,-0.02354250671854587,-0.02461135547467075,-0.02401885018564005,-0.01988658474030005,-0.020796250388796
2950,-0.025193326824650922,-0.020699896911391277,-0.020948302841562336,-0.02133787133487433,-0.022257237355078268,-0.022906734824636097,-0.023580357484791703,-0.0245122927185388,-0.02393698638131265,-0.01977504474111315,-0.0206491816361234
2948,-0.025214715595703575,-0.020699663555929875,-0.0209194976200766,-0.021407480721816568,-0.0222796645320095,-0.0228525868647456,-0.023650806621625036,-0.0244496812888813,-0.0238922553539461,-0.01969331077563525,-0.0204675126031639
