Wavenumbercm-1,0.00e+00 M,1.30e+01 M,8.68e+00 M,6.51e+00 M,5.21e+00 M,4.34e+00 M,3.47e+00 M,2.60e+00 M,0.00e+00 M
3000,-0.00029046817350212,-0.00094055895862795,-0.0015122744029271002,-0.0022437562960891002,-0.003066603224257667,-0.0034778946024797666,-0.004260803405814033,-0.004982914524401333,-0.0016786808869193749
2998,-0.0003084643290802656,-0.0008135253514552749,-0.0013319913603622,-0.0021875584258571664,-0.002977398873430634,-0.0033461999459664664,-0.0041790763055886,-0.004842810557103234,-0.0016004217689337753
2996,-0.0003302641567418256,-0.000683352265140075,-0.0012565131411142,-0.0021337083599619667,-0.0029364553016471336,-0.0032647529316951,-0.0041608493813753335,-0.004737843536071766,-0.0015298086451124
2994,-0.0003571909911793359,-0.00053902721916825,-0.0012557956900346502,-0.002046089305287033,-0.0028927606366813668,-0.0032009678584171,-0.004147953588461933,-0.004664288609286366,-0.0014546288057782502
2992,-0.0003911376599205332,-0.00040434809562169265,-0.0012470755157292998,-0.0019327709139204668,-0.002785951129515967,-0.0031187044383636665,-0.004083007454894334,-0.004590652237255767,-0.00133918963975245
2990,-0.00042432229840462,-0.00029751663619086643,-0.00117464860042795,-0.0018389753129583002,-0.0026224464809614,-0.0030271009874131,-0.003963050828369333,-0.004492719732272767,-0.0011875278012735
2988,-0.00044113113442452,-0.00020293687568635,-0.00106000685653195,-0.0018087010391991999,-0.0024702272677704002,-0.0029607056379710333,-0.003835354189530033,-0.004387383177411532,-0.0010695446914046499
2986,-0.00043411969418158,-0.00010848582524577969,-0.0009566904078027,-0.0018301515998527,-0.0023718049895094,-0.0029191268765228,-0.003742957740101966,-0.004303320126775033,-0.0010527904662824001
2984,-0.00041324944547600626,-3.757108263988282e-05,-0.0008926682728693999,-0.0018410002446678335,-0.0023076611173104,-0.002872182280805,-0.0036908554989152,-0.004236692509111933,-0.001123740691689125
2982,-0.00039681413978200975,-8.005132216000005e-06,-0.0008713117716146999,-0.0017968060804566665,-0.0022525329201676,-0.0028085186822573997,-0.0036571269206839333,-0.0041699944372086,-0.0011982797712008998
2980,-0.00039454953082727277,-1.8555448026000076e-06,-0.0008895888604959,-0.0017107382051086333,-0.0022085111384820334,-0.0027413655763319,-0.003628098785855467,-0.004114048125181233,-0.00121027105247165
