Wavenumbercm-1,00:02:34,00:05:33,00:08:34,00:11:34,00:14:34,00:17:33,00:20:33,00:23:32,00:26:32,00:29:32,00:32:33,00:35:32,00:38:32,00:41:32,00:44:32,00:47:32,00:50:32,00:53:32,00:56:32,00:59:32,01:02:32,01:05:32,01:08:33,01:11:34,01:14:35,01:17:34,01:20:34,01:23:34,01:26:32,01:29:32,01:32:34,01:35:34,01:42:01,01:45:01,01:48:01,01:51:01,01:54:01,01:57:01,02:00:01,02:02:59,02:05:59,02:08:59,02:12:01,02:15:01,02:18:01,02:21:01,02:24:01,02:27:01,02:29:59,02:32:59,02:36:01,02:39:01,02:42:01,02:45:01,02:48:01,02:51:01,02:54:01,02:57:01,03:00:01,03:03:01,03:06:01,03:09:01,03:12:01,03:15:01,03:18:01,03:21:01,03:24:01,03:27:01,03:30:01,03:33:01,03:36:01,03:39:01,03:42:02,03:45:00,03:48:01,03:51:01,03:54:01,03:57:01,04:00:01,04:03:01,04:06:01,04:09:01
3000,-0.00164617295572015,-0.00769253221109057,-0.0112511790949239,-0.0139841595903815,-0.0162020641853632,-0.0182755309281128,-0.0195712768340179,-0.0207796699742849,-0.0218124464145356,-0.0222772544469739,-0.0226679397338275,-0.023026229418418,-0.0236656952144952,-0.0240052580790584,-0.0243496826154151,-0.0246922227888159,-0.0252970308320869,-0.0256571029416907,-0.0258201519857434,-0.0266851795789608,-0.0271621675705198,-0.026842418242592,-0.0272277727136746,-0.0274627274144285,-0.0280137903958091,-0.028558521642452,-0.0288747715099266,-0.0288493306745934,-0.0295631296606699,-0.0295154040450856,-0.0296946452255432,-0.030027605973692,-0.014449568572775,-0.0145232815006428,-0.0140566269617527,-0.000557267672982239,-0.000511518385065607,-0.00654326051757446,-0.0104900346810125,-0.0132738482240895,-0.016035821070784,-0.0183148632415807,-0.00651542605369875,-0.0103230725165542,-0.0182916744990434,-0.0217257742576112,-0.02415954675379,-0.0252699353702993,-0.0264209931605056,-0.0265897410297265,-0.0275397471150747,-0.0278719749723835,-0.028425872604935,-0.0281750158074197,-0.0278646228009301,-0.0253562454085808,-0.0235043897401354,-0.0232035078364872,-0.0228028409842823,-0.0230914456678764,-0.0232948588486398,-0.0227906193964366,-0.0229141326400316,-0.0230741909323443,-0.0231103552720233,-0.0233182204118044,-0.0234426034747234,-0.0239001827737731,-0.0244337504108221,-0.0245487126897957,-0.0250712609739613,-0.0249140776116,-0.0253237289875717,-0.0259059068085156,-0.0257164831419094,-0.0260552000470914,-0.0263656409175047,-0.026829738844484,-0.0250330966583092,-0.0210294407698185,-0.0219844691073521,-0.0221509377056271
2998,-0.00167859461992764,-0.00762581158001033,-0.0112044825960513,-0.0138775773996515,-0.0160960044787906,-0.018230591480256,-0.019558358779394,-0.0205484903134287,-0.0215184835652888,-0.0221574279970998,-0.0224285179664532,-0.0228232720647286,-0.0235271872675675,-0.0237552110665702,-0.02424688890928,-0.0246898687146959,-0.025126045767878,-0.0254742426175161,-0.0255723994121032,-0.0263604354772233,-0.0270318794992632,-0.0268551318391718,-0.0270811825662264,-0.0274418136525677,-0.0278531279665393,-0.0285143506394724,-0.0287904130114844,-0.0287127520454141,-0.0294726535103678,-0.0294476718679023,-0.0296074637310047,-0.0297884647464389,-0.0140492452131157,-0.0140876056810544,-0.0136123620866252,-2.72029138715209E-05,-0.000143041656407924,-0.00602968221985425,-0.0101267855368859,-0.0127953194988913,-0.0156670141375868,-0.0179420755004199,-0.00596886544826442,-0.00991917272578654,-0.0178342543997895,-0.0212684356265443,-0.0236232098798953,-0.0247869074801913,-0.0258653562860119,-0.0261283509293792,-0.0269730690345061,-0.0275376765073795,-0.0280423562199858,-0.0277254398546194,-0.0273337189288374,-0.0249354771173632,-0.0229351189361584,-0.02264167662563,-0.0221817117677232,-0.0227208294981384,-0.0229223222320018,-0.0223791984721262,-0.0226654202273502,-0.0226186918232167,-0.0227760683361968,-0.0227909327598128,-0.0231126385050658,-0.0234921937315757,-0.0240327967107184,-0.0242224219105625,-0.0246520615148169,-0.0245100245038856,-0.0249915283899168,-0.0255277714828104,-0.0254229613039647,-0.0256550884022685,-0.0261212831397281,-0.0266686978930164,-0.0246900374568744,-0.0207628939036216,-0.0216857045498545,-0.0218772899753011
2996,-0.00159018246636803,-0.00749689522227797,-0.0110421559275423,-0.0136241456584994,-0.0158287619923878,-0.0179428084425861,-0.019251174578989,-0.0202038126737504,-0.0210452627004727,-0.0218812121784036,-0.022115348218156,-0.0224925159887063,-0.0232100203945101,-0.0232828742977271,-0.0240454337527533,-0.0244913238405752,-0.0248270907404335,-0.0250914145946746,-0.0252038010183253,-0.0258553774464176,-0.0267603022415374,-0.026775277096487,-0.0268806274481,-0.0273187584245545,-0.0276381064107005,-0.0283251743147751,-0.0285070100403885,-0.0284903504050329,-0.0292304529375678,-0.0293751953919346,-0.0294878203157804,-0.0296018422000926,-0.0137331983701036,-0.0135821817157175,-0.013128276100009,0.000564461710365484,0.000323532166346473,-0.00545318564529133,-0.00964770965935878,-0.0122733848342506,-0.0150896969917131,-0.0175194415545246,-0.00533680761219988,-0.00938183749426071,-0.0172722190226096,-0.0207669209990139,-0.0229655570646843,-0.0241999404606262,-0.0252764447480705,-0.0255906475815514,-0.0263475461427762,-0.0271010932506682,-0.0275223858205227,-0.0272072766346794,-0.0269324653624558,-0.0243994626628791,-0.0222698288935235,-0.0220082046591719,-0.0214932819678027,-0.0222132318336029,-0.022543952437427,-0.0220551157387786,-0.0224199136735257,-0.02225072680131,-0.022353083900117,-0.0222827129534973,-0.0227650544868147,-0.0230126587266118,-0.0235172358243393,-0.0238088796429287,-0.0241427306471158,-0.0241595166302328,-0.0246175008598197,-0.0250130782004047,-0.025063293675709,-0.025281521920583,-0.0257743201388828,-0.026338723213897,-0.0242680870702397,-0.020431549040873,-0.0214483987410581,-0.0214955505568869
2994,-0.00148799037684707,-0.00736016915907868,-0.0108143560769291,-0.0133469567418892,-0.0155196196275917,-0.0175722394973854,-0.0187936792027628,-0.0198652736233188,-0.0206020707064705,-0.0215532531777111,-0.021856739668575,-0.0222042338019633,-0.0228933486946003,-0.0228805044422045,-0.023820014451952,-0.0241551436594824,-0.0244450122521505,-0.0247071572293099,-0.0249197620296676,-0.0254552469428628,-0.0264271511099513,-0.0265869003386209,-0.0267212285444296,-0.027108027537602,-0.0274756667746306,-0.0280728010448595,-0.0281772287811671,-0.0283028865139382,-0.028941798580645,-0.0292626476681105,-0.0293601633465333,-0.0295063861435391,-0.0135450880706155,-0.0131869882454795,-0.0127265402855368,0.00103274621004252,0.000763430108958813,-0.00502443652797379,-0.00917154155046734,-0.0118343345774748,-0.0144915821339727,-0.0171386102174316,-0.00483310122583234,-0.00884714468785102,-0.0167829791521137,-0.0203725307218615,-0.0224161721000028,-0.0236832944670733,-0.0247451208392643,-0.0250666506408988,-0.0258995551620119,-0.0266772341005626,-0.0270186239307215,-0.026788435710897,-0.0267308344543563,-0.0239302420027472,-0.0217796119737365,-0.0215298397850143,-0.0209764556029218,-0.0216878185839043,-0.0222088064115551,-0.021831716758004,-0.0222073446567745,-0.0220824869356999,-0.022009050089281,-0.0219589373281989,-0.0224765759767566,-0.0226279917412614,-0.0231028635428835,-0.0234861464108556,-0.0237722998162192,-0.0239663096338368,-0.0243056653506169,-0.0245702175849524,-0.024705877457614,-0.0250303427845392,-0.0254459671742237,-0.0259799332774181,-0.0239203723408847,-0.020161140270897,-0.021316399904881,-0.0211743618069083
2992,-0.0014878750625264,-0.0073215649301162,-0.0106177700458055,-0.0132458463616979,-0.0153650237285745,-0.01733702097186,-0.0184458752009282,-0.0196846643645682,-0.0203925140824474,-0.0213264223343915,-0.0216967823845685,-0.0220909632716194,-0.0227350840056931,-0.0227782303907887,-0.0236829409871894,-0.0238953265333355,-0.0241064185863954,-0.0244997584217416,-0.0248490669477184,-0.025354498204309,-0.0261662261763605,-0.026400879602069,-0.026607824455236,-0.0269397295937907,-0.0273627399172061,-0.0278880397399119,-0.0280287856371928,-0.0282686077162806,-0.0287252942922365,-0.0291317814238009,-0.029281953172854,-0.0294755578965611,-0.0134143221726196,-0.0129978285063762,-0.0124659173428002,0.0013107898682929,0.00106179368588789,-0.0048028997091105,-0.00880425917348343,-0.0115303903330877,-0.0140317257640041,-0.0168192582777556,-0.00453982410640009,-0.00845385893662959,-0.0165210478955258,-0.020116188693332,-0.0220908437486487,-0.0233374310905735,-0.0243348445544407,-0.0246862871572944,-0.0257054934609913,-0.0263919172430878,-0.0266309818146803,-0.0265833480696308,-0.0266622881268559,-0.0236857790646406,-0.0215316995406731,-0.021263618438471,-0.0207132138224457,-0.0212581851299517,-0.0219331424412317,-0.0216331966265733,-0.0220018620077133,-0.0220270250854681,-0.0218182594374093,-0.0218122435779738,-0.0222980320037615,-0.0224737731048433,-0.02288421702723,-0.0232889918255794,-0.0235620724577897,-0.0238411306576166,-0.0240583055119424,-0.0243229735701087,-0.0244348471025915,-0.0248877663155615,-0.0252343100164226,-0.0257778892669112,-0.0237231511853959,-0.0200381441937669,-0.0212526749238166,-0.0210525034146471
2990,-0.00159719725620471,-0.00744862207637185,-0.0105535781923987,-0.0133855406546702,-0.0154240658922413,-0.0172782614863296,-0.018348542936228,-0.0197112069960959,-0.020452681377256,-0.0212590014567042,-0.0216687019675801,-0.0221499089559103,-0.0227075191352289,-0.0229099886421014,-0.023632779114406,-0.0238305401024109,-0.0239158104637478,-0.0244785709449518,-0.0249187413404745,-0.0254938221612054,-0.0260627872150447,-0.0263065874822246,-0.0264878681560805,-0.0268977073948356,-0.0272586516184724,-0.0278180877562687,-0.0280875238140938,-0.0283787542384151,-0.0286110842418191,-0.02905505727008,-0.0292947635067975,-0.0295270281161221,-0.0133014069535563,-0.0129818967907095,-0.0123366986010149,0.00144820809119447,0.00119362641485247,-0.00468261658464658,-0.00856759312160499,-0.0113164098121269,-0.0137243574392699,-0.0165545474817911,-0.00436127286654638,-0.00825381913525,-0.0164504594463107,-0.0199344629782875,-0.0219320689172786,-0.0231484333685934,-0.0240710356818549,-0.0245038491711427,-0.02563956207763,-0.0262540179806386,-0.0263703604191329,-0.0265455870164373,-0.0265613441470959,-0.0236900180050506,-0.0214232782763465,-0.0211299964540703,-0.0206381222688302,-0.0210040113254553,-0.0217313634808145,-0.0214143791706624,-0.0217528281577902,-0.021950554184056,-0.0216847403201275,-0.0217386360634107,-0.0222157532467759,-0.0225242605800111,-0.0227924200638299,-0.0231560579755155,-0.0233911404932868,-0.0236908463352992,-0.0238582515364063,-0.0242447601213699,-0.0242913025867308,-0.0247484045638674,-0.0251398898685181,-0.0257361752889798,-0.0236254791210536,-0.0200303449576998,-0.0212310204876851,-0.0210999313531299
2988,-0.0017403563197683,-0.00767765160523498,-0.0106552192456474,-0.0136169557229045,-0.0155646396648014,-0.0172611111647659,-0.0184548835951231,-0.0198289342601482,-0.0206148344190213,-0.0212923754095757,-0.0218014837850963,-0.0222904974502781,-0.0226943648445107,-0.0230625960074399,-0.0235701546115034,-0.0238768837263702,-0.0238556618667711,-0.024521099372975,-0.0249475677635646,-0.0256559372921687,-0.0260639290507371,-0.0262818564722092,-0.0263785211925768,-0.0269186009266212,-0.0272157189601225,-0.027794919997295,-0.0281541528151946,-0.0284977573176719,-0.0285481781747924,-0.0290667410270501,-0.0293466070909822,-0.0296757812677974,-0.0132161557339952,-0.0129925391590254,-0.0123045900550197,0.00153339537442691,0.00122615276619663,-0.00455144784171828,-0.00842051028865255,-0.011133138144549,-0.0135329555007517,-0.0163355090448704,-0.00417712877843171,-0.00816497213556803,-0.0163995128955327,-0.0197864453618281,-0.0218025305667716,-0.0230493841905443,-0.0239012312700445,-0.0244546649978711,-0.0255576976884406,-0.0261736762889707,-0.0262258122719756,-0.0265421421406702,-0.026340817619308,-0.0238088756743645,-0.0213556803340225,-0.0210500187453209,-0.0206699461477185,-0.0209222249599369,-0.0216184893064403,-0.0212304760055183,-0.0214841951545063,-0.0218449290794026,-0.0215010873872152,-0.0216539130283602,-0.0221734848198386,-0.0226341609085215,-0.0227407347175129,-0.023080229244506,-0.0232239245951829,-0.0235356284547259,-0.0237427006565031,-0.0242225110796216,-0.0242415742760709,-0.0245715273897839,-0.0251037029678333,-0.0257281804433204,-0.0235568650547841,-0.0200139980126437,-0.021228979287633,-0.0211544477150624
2986,-0.00184289717645911,-0.0078605592097001,-0.0108426856486675,-0.0137420939822749,-0.0156268567079115,-0.0171922718202895,-0.0186509587870439,-0.0198706814139585,-0.0206875013641406,-0.0213445003664706,-0.0219993689759749,-0.0224192212104436,-0.0226679060283866,-0.0231509374575299,-0.0234678860325397,-0.0238986278447242,-0.0238428568592004,-0.0245282070086493,-0.0248474755916535,-0.0256813941904521,-0.0260348202876346,-0.0262496518817714,-0.0263551367222438,-0.0268886165254615,-0.027299188574072,-0.0277277437915533,-0.028068877690101,-0.0284954758484874,-0.0284777682586718,-0.0291039241075258,-0.029326923954482,-0.0298223243549095,-0.013126384272826,-0.0128515877414372,-0.0123115467307963,0.00164482880709233,0.00124505537025829,-0.00439441057323961,-0.00830324919209463,-0.010965893182813,-0.0134383008116415,-0.0161236219216515,-0.00397315111411414,-0.00801857482818475,-0.0162528036906534,-0.0196753158096134,-0.0216049753547083,-0.022952435538726,-0.0237281486081739,-0.0243976214777426,-0.0254216140974562,-0.0260616159560175,-0.0261644769920214,-0.0264837385749961,-0.0260723547728361,-0.0238247868609852,-0.0212841297322957,-0.020970950874024,-0.0207428517952494,-0.0208886714079805,-0.0215387305374118,-0.0211353159424262,-0.0212669373677461,-0.0217696218046769,-0.0212859531783212,-0.0215062377410015,-0.0220800108674227,-0.0226393289463085,-0.0227140655157611,-0.0230695894911339,-0.0231221930618477,-0.0233853021248341,-0.0236890553737654,-0.0241564827563284,-0.0241833714049644,-0.0244346167543757,-0.0250396621414658,-0.0256841134789529,-0.0234921472748702,-0.0198884452306935,-0.0211537730757359,-0.0210830781662301
2984,-0.00186115374178051,-0.00791666306141502,-0.0109642857282475,-0.0137192340649022,-0.0155949417166409,-0.0171174512112215,-0.0188327363003053,-0.0197745864231282,-0.020642159485632,-0.0213596908930035,-0.0220670666187744,-0.0224638467031233,-0.022680789666306,-0.0232261651041862,-0.0234006608410909,-0.023853535494452,-0.0238470982536197,-0.0244916112026996,-0.0247014816508051,-0.0255452676448768,-0.0259080394662752,-0.0261863934314233,-0.0264104543288812,-0.0267983607936885,-0.0274143159405223,-0.02760076306656,-0.0278903749331102,-0.0283677043141559,-0.0283738420614373,-0.0290746362277216,-0.0292103913370136,-0.0298095308623255,-0.0129675709119544,-0.0125265021319311,-0.0122699588601576,0.00180137349090185,0.00128727997818701,-0.00424838757546696,-0.00818415677405907,-0.010813649238702,-0.0134049742450946,-0.0158955627535236,-0.00380466804348381,-0.00774306307573758,-0.0160364555335416,-0.0195862782794374,-0.0213382974531744,-0.0227881064536024,-0.0235118005784132,-0.0242171580044423,-0.025261241255129,-0.025888095292685,-0.0260904544608925,-0.0263457696066787,-0.0258390015888087,-0.0236240011045317,-0.0211808845598828,-0.0208492385044976,-0.0207780884160685,-0.0207562436961241,-0.0214045387882096,-0.0210819307961047,-0.0211183409305051,-0.0217129043229848,-0.0211164723028367,-0.0212734286888822,-0.0218650510615201,-0.0224773052269581,-0.0227133709721404,-0.0230447648051251,-0.0230831665820759,-0.0231583142234592,-0.0235588694388122,-0.0240047564657046,-0.0240185453557118,-0.0243850093438833,-0.0248631946928958,-0.0255977300842618,-0.0234026480740251,-0.0196675760470765,-0.0209218161332217,-0.020880323478598
2982,-0.00180804848709566,-0.00788190901620779,-0.0109449136355631,-0.0136486907919097,-0.0155824241215242,-0.0171024696709607,-0.0189073939008836,-0.0196243920521511,-0.0205924556634384,-0.0213323075814917,-0.0219512557720562,-0.0224139793610671,-0.0227470253167377,-0.0233129300214304,-0.0234307308391974,-0.0238028934006293,-0.0239180812082194,-0.0244633707452838,-0.0246635445645154,-0.0253388905193158,-0.0257732790905595,-0.0261498220935396,-0.0264757205428512,-0.0267548527954328,-0.0274115906276839,-0.0275015782897886,-0.0277876663973848,-0.0282497419695946,-0.028265862282724,-0.0289929995190735,-0.0291166651032002,-0.0296547984862692,-0.0127599422774485,-0.0122079386214817,-0.0121447245216147,0.00192981549442662,0.00131521386207645,-0.00414312319058478,-0.00809116731758566,-0.0106875205438524,-0.0133727357665109,-0.0157195018389351,-0.00372010523734651,-0.00749900386145354,-0.0158749817320106,-0.0194982483032269,-0.0211101702940309,-0.0225878552829461,-0.0233205672112584,-0.023958890319529,-0.0251420706592239,-0.0257107764989307,-0.025964416161919,-0.0261719216055836,-0.0256694780598952,-0.0233419587053981,-0.0210985930616822,-0.0207429993476751,-0.0207582785322338,-0.0205646686805456,-0.0212658494572872,-0.0210448359226766,-0.0210442377376369,-0.0216678428785597,-0.0210321086872392,-0.0210561253533129,-0.0216160593555375,-0.0222990706031653,-0.0227301465484452,-0.0229661182444307,-0.0230687629330957,-0.0228705390468186,-0.0233102923506728,-0.0238340629006961,-0.0238019995843406,-0.0244040005703089,-0.0246305751402328,-0.0254681294318335,-0.0232818096608005,-0.0195027548359426,-0.0206625009465836,-0.0206834426774912
