#--- Experiment --------------------------------------------------------------------------																									
#AE-419-1-Ch2																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																									
#LAPTOP-78SJC00Q																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [A] FSO2-C2 SN:2411E508596FD904 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	09.12.2024	09.12.2024	7.210000	50.221000	0.827000	0.075000	470	-0.350000	0.874000	0.584000	0.000000	-0.000106	0.000000	0.000000	fixed f	998.699000	20.952000	100.000000	19.940000	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (µmol/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
17-01-2025	09:46:37.987	0.220	264.023346	6.847000	41	0	NotOK(12)	17-01-2025	09:46:37.987	0.220	24.524	OK	17-01-2025	09:46:37.987	0.220	1017	OK	17-01-2025	09:46:37.802	0.035	24.532	OK			
17-01-2025	09:46:38.987	1.220	265.601654	6.817000	41	0	NotOK(12)	17-01-2025	09:46:38.987	1.220	24.525	OK	17-01-2025	09:46:38.987	1.220	1017	OK	17-01-2025	09:46:38.800	1.033	24.524	OK			
17-01-2025	09:46:39.986	2.219	263.011078	6.866000	41	0	NotOK(12)	17-01-2025	09:46:39.986	2.219	24.526	OK	17-01-2025	09:46:39.986	2.219	1017	OK	17-01-2025	09:46:39.801	2.034	24.523	OK			
17-01-2025	09:46:40.987	3.220	265.517639	6.818000	41	0	NotOK(12)	17-01-2025	09:46:40.987	3.220	24.529	OK	17-01-2025	09:46:40.987	3.220	1017	OK	17-01-2025	09:46:40.805	3.038	24.525	OK			
17-01-2025	09:46:41.988	4.221	262.113403	6.881000	41	0	NotOK(12)	17-01-2025	09:46:41.988	4.221	24.541	OK	17-01-2025	09:46:41.988	4.221	1017	OK	17-01-2025	09:46:41.800	4.033	24.544	OK			
17-01-2025	09:46:42.990	5.223	263.583649	6.852000	41	0	NotOK(12)	17-01-2025	09:46:42.990	5.223	24.547	OK	17-01-2025	09:46:42.990	5.223	1017	OK	17-01-2025	09:46:42.801	5.034	24.544	OK			
17-01-2025	09:46:43.989	6.222	267.076782	6.786000	41	0	NotOK(12)	17-01-2025	09:46:43.989	6.222	24.548	OK	17-01-2025	09:46:43.989	6.222	1017	OK	17-01-2025	09:46:43.801	6.034	24.550	OK			
17-01-2025	09:46:44.989	7.222	266.024994	6.807000	41	0	NotOK(12)	17-01-2025	09:46:44.989	7.222	24.539	OK	17-01-2025	09:46:44.989	7.222	1017	OK	17-01-2025	09:46:44.800	7.033	24.543	OK			
17-01-2025	09:46:45.988	8.221	267.215088	6.784000	41	0	NotOK(12)	17-01-2025	09:46:45.988	8.221	24.544	OK	17-01-2025	09:46:45.988	8.221	1017	OK	17-01-2025	09:46:45.800	8.033	24.545	OK			
17-01-2025	09:46:46.989	9.221	266.040466	6.807000	41	0	NotOK(12)	17-01-2025	09:46:46.989	9.221	24.537	OK	17-01-2025	09:46:46.989	9.221	1017	OK	17-01-2025	09:46:46.800	9.033	24.539	OK			
17-01-2025	09:46:47.990	10.223	266.581635	6.797000	41	0	NotOK(12)	17-01-2025	09:46:47.990	10.223	24.536	OK	17-01-2025	09:46:47.990	10.223	1017	OK	17-01-2025	09:46:47.801	10.034	24.537	OK			
17-01-2025	09:46:48.989	11.222	262.769867	6.869000	41	0	NotOK(12)	17-01-2025	09:46:48.989	11.222	24.537	OK	17-01-2025	09:46:48.989	11.222	1017	OK	17-01-2025	09:46:48.802	11.035	24.536	OK			
