#--- Experiment --------------------------------------------------------------------------																									
#AE-402-1-Ch2																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.5.3.2466   www.pyroscience.com																									
#IOMC368																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [A] FSO2-C2 SN:24110001 UiD:2411E508596FD904 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	09.12.2024	09.12.2024	7.210000	50.221000	0.827000	0.075000	470	-0.350000	0.874000	0.584000	0.000000	-0.000106	0.000000	0.000000	fixed f	998.699000	20.952000	100.000000	19.940000	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (µmol/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
11-12-2024	13:22:35.811	0.681	1.349354	47.953999	345	0	OK	11-12-2024	13:22:35.811	0.681	20.069	OK	11-12-2024	13:22:35.811	0.681	1008	OK	11-12-2024	13:22:35.162	0.032	20.070	OK			
11-12-2024	13:22:36.810	1.680	1.343827	47.962002	345	0	OK	11-12-2024	13:22:36.810	1.680	20.074	OK	11-12-2024	13:22:36.810	1.680	1008	OK	11-12-2024	13:22:36.211	1.082	20.068	OK			
11-12-2024	13:22:37.810	2.681	1.343766	47.960999	346	0	OK	11-12-2024	13:22:37.810	2.681	20.081	OK	11-12-2024	13:22:37.810	2.681	1008	OK	11-12-2024	13:22:37.215	2.086	20.078	OK			
11-12-2024	13:22:38.821	3.691	1.341118	47.966000	345	0	OK	11-12-2024	13:22:38.821	3.691	20.076	OK	11-12-2024	13:22:38.821	3.691	1008	OK	11-12-2024	13:22:38.216	3.086	20.083	OK			
11-12-2024	13:22:39.819	4.689	1.338902	47.970001	346	0	OK	11-12-2024	13:22:39.819	4.689	20.073	OK	11-12-2024	13:22:39.819	4.689	1008	OK	11-12-2024	13:22:39.215	4.085	20.078	OK			
11-12-2024	13:22:40.819	5.690	1.336789	47.973999	346	0	OK	11-12-2024	13:22:40.819	5.690	20.069	OK	11-12-2024	13:22:40.819	5.690	1008	OK	11-12-2024	13:22:40.215	5.085	20.072	OK			
11-12-2024	13:22:41.820	6.690	1.332261	47.981998	346	0	OK	11-12-2024	13:22:41.820	6.690	20.064	OK	11-12-2024	13:22:41.820	6.690	1008	OK	11-12-2024	13:22:41.215	6.085	20.071	OK			
11-12-2024	13:22:42.819	7.689	1.331868	47.981998	346	0	OK	11-12-2024	13:22:42.819	7.689	20.068	OK	11-12-2024	13:22:42.819	7.689	1008	OK	11-12-2024	13:22:42.215	7.085	20.063	OK			
11-12-2024	13:22:43.820	8.690	1.322651	47.997002	346	0	OK	11-12-2024	13:22:43.820	8.690	20.066	OK	11-12-2024	13:22:43.820	8.690	1008	OK	11-12-2024	13:22:43.216	8.086	20.068	OK			
11-12-2024	13:22:44.819	9.689	1.323810	47.994999	346	0	OK	11-12-2024	13:22:44.819	9.689	20.067	OK	11-12-2024	13:22:44.819	9.689	1008	OK	11-12-2024	13:22:44.215	9.085	20.070	OK			
11-12-2024	13:22:45.821	10.691	1.317869	48.004002	346	0	OK	11-12-2024	13:22:45.821	10.691	20.070	OK	11-12-2024	13:22:45.821	10.691	1008	OK	11-12-2024	13:22:45.217	10.087	20.075	OK			
11-12-2024	13:22:46.820	11.690	1.318533	48.001999	346	0	OK	11-12-2024	13:22:46.820	11.690	20.076	OK	11-12-2024	13:22:46.820	11.690	1008	OK	11-12-2024	13:22:46.217	11.087	20.078	OK			
11-12-2024	13:22:47.820	12.691	1.312793	48.011002	346	0	OK	11-12-2024	13:22:47.820	12.691	20.077	OK	11-12-2024	13:22:47.820	12.691	1008	OK	11-12-2024	13:22:47.220	12.090	20.075	OK			
11-12-2024	13:22:48.822	13.693	1.311245	48.013000	346	0	OK	11-12-2024	13:22:48.822	13.693	20.080	OK	11-12-2024	13:22:48.822	13.693	1008	OK	11-12-2024	13:22:48.222	13.092	20.080	OK			
11-12-2024	13:22:49.823	14.693	1.312558	48.012001	346	0	OK	11-12-2024	13:22:49.823	14.693	20.073	OK	11-12-2024	13:22:49.823	14.693	1008	OK	11-12-2024	13:22:49.220	14.090	20.076	OK			
11-12-2024	13:22:50.822	15.692	1.308763	48.019001	346	0	OK	11-12-2024	13:22:50.822	15.692	20.067	OK	11-12-2024	13:22:50.822	15.692	1008	OK	11-12-2024	13:22:50.222	15.092	20.075	OK			
11-12-2024	13:22:51.821	16.691	1.305589	48.025002	346	0	OK	11-12-2024	13:22:51.821	16.691	20.061	OK	11-12-2024	13:22:51.821	16.691	1008	OK	11-12-2024	13:22:51.223	16.093	20.064	OK			
11-12-2024	13:22:52.823	17.693	1.303219	48.028000	346	0	OK	11-12-2024	13:22:52.823	17.693	20.066	OK	11-12-2024	13:22:52.823	17.693	1008	OK	11-12-2024	13:22:52.222	17.092	20.065	OK			
11-12-2024	13:22:53.823	18.693	1.295705	48.040001	346	0	OK	11-12-2024	13:22:53.823	18.693	20.066	OK	11-12-2024	13:22:53.823	18.693	1008	OK	11-12-2024	13:22:53.223	18.093	20.067	OK			
11-12-2024	13:22:54.822	19.692	1.295512	48.040001	346	0	OK	11-12-2024	13:22:54.822	19.692	20.068	OK	11-12-2024	13:22:54.822	19.692	1008	OK	11-12-2024	13:22:54.223	19.093	20.067	OK			
11-12-2024	13:22:55.822	20.693	1.294886	48.041000	346	0	OK	11-12-2024	13:22:55.822	20.693	20.068	OK	11-12-2024	13:22:55.822	20.693	1008	OK	11-12-2024	13:22:55.223	20.093	20.068	OK			
11-12-2024	13:22:56.824	21.694	1.293010	48.043999	346	0	OK	11-12-2024	13:22:56.824	21.694	20.068	OK	11-12-2024	13:22:56.824	21.694	1008	OK	11-12-2024	13:22:56.223	21.094	20.068	OK			
11-12-2024	13:22:57.825	22.695	1.290113	48.048000	346	0	OK	11-12-2024	13:22:57.825	22.695	20.072	OK	11-12-2024	13:22:57.825	22.695	1008	OK	11-12-2024	13:22:57.223	22.093	20.066	OK			
11-12-2024	13:22:58.824	23.694	1.284914	48.056000	346	0	OK	11-12-2024	13:22:58.824	23.694	20.074	OK	11-12-2024	13:22:58.824	23.694	1008	OK	11-12-2024	13:22:58.223	23.093	20.072	OK			
11-12-2024	13:22:59.826	24.696	1.282803	48.060001	346	0	OK	11-12-2024	13:22:59.826	24.696	20.070	OK	11-12-2024	13:22:59.826	24.696	1008	OK	11-12-2024	13:22:59.223	24.094	20.074	OK			
11-12-2024	13:23:00.823	25.694	1.286556	48.054001	346	0	OK	11-12-2024	13:23:00.823	25.694	20.070	OK	11-12-2024	13:23:00.823	25.694	1008	OK	11-12-2024	13:23:00.224	25.094	20.067	OK			
11-12-2024	13:23:01.828	26.698	1.281360	48.062000	346	0	OK	11-12-2024	13:23:01.828	26.698	20.072	OK	11-12-2024	13:23:01.828	26.698	1008	OK	11-12-2024	13:23:01.225	26.095	20.069	OK			
