#--- Experiment --------------------------------------------------------------------------																									
#AE-418-1-Ch2																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																									
#LAPTOP-78SJC00Q																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [] FSO2-C2 SN:2466C2055D64AD2A Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [ Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	09.12.2024	09.12.2024	7.210001	50.220669	0.827000	0.075000	470	-0.350000	0.874000	0.584349	0.000000	-0.000106	0.000000	0.000000	fixed f	998.698975	20.951933	100.000000	19.940468	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [ T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [ P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [ T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [ Ch.2 Main]	Time [ Ch.2 Main]	 dt (s) [ Ch.2 Main]	Oxygen (µmol/L) [ Ch.2 Main]	dphi (°) [ Ch.2 Main]	Signal Intensity (mV) [ Ch.2 Main]	Ambient Light (mV) [ Ch.2 Main]	Status [ Ch.2 Main]	Date [ Ch.2 CompT]	Time [ Ch.2 CompT]	 dt (s) [ Ch.2 CompT]	Sample Temp. (°C) [ Ch.2 CompT]	Status [ Ch.2 CompT]	Date [ Ch.2 CompP]	Time [ Ch.2 CompP]	 dt (s) [ Ch.2 CompP]	Pressure (mbar) [ Ch.2 CompP]	Status [ Ch.2 CompP]	Date [ T1]	Time [ T1]	 dt (s) [ T1]	Sample Temp. (°C) [ T1]	Status [ T1]	Date [Comment]	Time [Comment]	Comment
16-01-2025	11:07:00.285	0.031	16.538557	31.754000	221	0	OK	16-01-2025	11:07:00.285	0.031	21.988	OK	16-01-2025	11:07:00.285	0.031	1016	OK	16-01-2025	11:07:00.496	0.241	21.990	OK			
16-01-2025	11:07:01.275	1.021	16.559958	31.739000	221	0	OK	16-01-2025	11:07:01.275	1.021	21.991	OK	16-01-2025	11:07:01.275	1.021	1016	OK	16-01-2025	11:07:01.487	1.232	21.987	OK			
16-01-2025	11:07:02.275	2.021	16.567270	31.735001	221	0	OK	16-01-2025	11:07:02.275	2.021	21.989	OK	16-01-2025	11:07:02.275	2.021	1016	OK	16-01-2025	11:07:02.486	2.232	21.990	OK			
16-01-2025	11:07:03.276	3.021	16.561724	31.736000	221	0	OK	16-01-2025	11:07:03.276	3.021	21.996	OK	16-01-2025	11:07:03.276	3.021	1016	OK	16-01-2025	11:07:03.487	3.232	21.995	OK			
16-01-2025	11:07:04.275	4.021	16.566570	31.731001	221	0	OK	16-01-2025	11:07:04.275	4.021	22.001	OK	16-01-2025	11:07:04.275	4.021	1016	OK	16-01-2025	11:07:04.487	4.232	21.999	OK			
16-01-2025	11:07:05.276	5.021	16.569834	31.730000	221	0	OK	16-01-2025	11:07:05.276	5.021	21.998	OK	16-01-2025	11:07:05.276	5.021	1016	OK	16-01-2025	11:07:05.487	5.233	21.995	OK			
16-01-2025	11:07:06.276	6.022	16.581118	31.729000	221	0	OK	16-01-2025	11:07:06.276	6.022	21.981	OK	16-01-2025	11:07:06.276	6.022	1016	OK	16-01-2025	11:07:06.487	6.233	21.982	OK			
16-01-2025	11:07:07.279	7.025	16.592894	31.721001	221	0	OK	16-01-2025	11:07:07.279	7.025	21.982	OK	16-01-2025	11:07:07.279	7.025	1016	OK	16-01-2025	11:07:07.495	7.240	21.982	OK			
16-01-2025	11:07:08.277	8.022	16.598507	31.716999	221	0	OK	16-01-2025	11:07:08.277	8.022	21.983	OK	16-01-2025	11:07:08.277	8.022	1016	OK	16-01-2025	11:07:08.487	8.233	21.984	OK			
16-01-2025	11:07:09.278	9.023	16.601858	31.709999	221	0	OK	16-01-2025	11:07:09.278	9.023	21.996	OK	16-01-2025	11:07:09.278	9.023	1016	OK	16-01-2025	11:07:09.489	9.234	21.996	OK			
16-01-2025	11:07:10.276	10.021	16.606716	31.705000	221	0	OK	16-01-2025	11:07:10.276	10.021	22.001	OK	16-01-2025	11:07:10.276	10.021	1016	OK	16-01-2025	11:07:10.487	10.232	22.003	OK			
16-01-2025	11:07:11.277	11.022	16.628149	31.693001	221	0	OK	16-01-2025	11:07:11.277	11.022	21.996	OK	16-01-2025	11:07:11.277	11.022	1016	OK	16-01-2025	11:07:11.488	11.234	21.999	OK			
16-01-2025	11:07:12.277	12.022	16.629513	31.691000	221	0	OK	16-01-2025	11:07:12.277	12.022	21.999	OK	16-01-2025	11:07:12.277	12.022	1016	OK	16-01-2025	11:07:12.488	12.233	22.002	OK			
16-01-2025	11:07:13.277	13.022	16.629560	31.688000	221	0	OK	16-01-2025	11:07:13.277	13.022	22.007	OK	16-01-2025	11:07:13.277	13.022	1016	OK	16-01-2025	11:07:13.489	13.234	22.006	OK			
16-01-2025	11:07:14.278	14.024	16.627617	31.690001	221	0	OK	16-01-2025	11:07:14.278	14.024	22.005	OK	16-01-2025	11:07:14.278	14.024	1016	OK	16-01-2025	11:07:14.489	14.234	22.006	OK			
16-01-2025	11:07:15.279	15.024	16.641945	31.680000	221	0	OK	16-01-2025	11:07:15.279	15.024	22.007	OK	16-01-2025	11:07:15.279	15.024	1016	OK	16-01-2025	11:07:15.490	15.235	22.003	OK			
16-01-2025	11:07:16.279	16.024	16.652565	31.674999	221	0	OK	16-01-2025	11:07:16.279	16.024	22.002	OK	16-01-2025	11:07:16.279	16.024	1016	OK	16-01-2025	11:07:16.492	16.237	22.000	OK			
16-01-2025	11:07:17.279	17.024	16.645178	31.681999	221	0	OK	16-01-2025	11:07:17.279	17.024	21.996	OK	16-01-2025	11:07:17.279	17.024	1016	OK	16-01-2025	11:07:17.489	17.235	21.997	OK			
16-01-2025	11:07:18.279	18.025	16.650574	31.680000	221	0	OK	16-01-2025	11:07:18.279	18.025	21.992	OK	16-01-2025	11:07:18.279	18.025	1016	OK	16-01-2025	11:07:18.492	18.237	21.993	OK			
16-01-2025	11:07:19.279	19.024	16.667402	31.671000	221	0	OK	16-01-2025	11:07:19.279	19.024	21.987	OK	16-01-2025	11:07:19.279	19.024	1016	OK	16-01-2025	11:07:19.490	19.235	21.989	OK			
16-01-2025	11:07:20.278	20.024	16.651726	31.680000	221	0	OK	16-01-2025	11:07:20.278	20.024	21.990	OK	16-01-2025	11:07:20.278	20.024	1016	OK	16-01-2025	11:07:20.489	20.235	21.992	OK			
16-01-2025	11:07:21.279	21.024	16.686991	31.658001	221	0	OK	16-01-2025	11:07:21.279	21.024	21.988	OK	16-01-2025	11:07:21.279	21.024	1016	OK	16-01-2025	11:07:21.491	21.236	21.985	OK			
16-01-2025	11:07:22.279	22.024	16.676485	31.667000	221	0	OK	16-01-2025	11:07:22.279	22.024	21.982	OK	16-01-2025	11:07:22.279	22.024	1016	OK	16-01-2025	11:07:22.490	22.235	21.983	OK			
16-01-2025	11:07:23.279	23.024	16.672810	31.669001	221	0	OK	16-01-2025	11:07:23.279	23.024	21.983	OK	16-01-2025	11:07:23.279	23.024	1016	OK	16-01-2025	11:07:23.491	23.236	21.981	OK			
16-01-2025	11:07:24.279	24.024	16.663507	31.674999	221	0	OK	16-01-2025	11:07:24.279	24.024	21.983	OK	16-01-2025	11:07:24.279	24.024	1016	OK	16-01-2025	11:07:24.490	24.236	21.982	OK			
16-01-2025	11:07:25.280	25.025	16.662531	31.676001	221	0	OK	16-01-2025	11:07:25.280	25.025	21.982	OK	16-01-2025	11:07:25.280	25.025	1016	OK	16-01-2025	11:07:25.493	25.239	21.982	OK			
16-01-2025	11:07:26.280	26.026	16.675688	31.669001	221	0	OK	16-01-2025	11:07:26.280	26.026	21.978	OK	16-01-2025	11:07:26.280	26.026	1016	OK	16-01-2025	11:07:26.493	26.238	21.980	OK			
16-01-2025	11:07:27.281	27.026	16.678265	31.664000	221	0	OK	16-01-2025	11:07:27.281	27.026	21.987	OK	16-01-2025	11:07:27.281	27.026	1016	OK	16-01-2025	11:07:27.492	27.238	21.986	OK			
16-01-2025	11:07:28.281	28.026	16.670328	31.667999	221	0	OK	16-01-2025	11:07:28.281	28.026	21.990	OK	16-01-2025	11:07:28.281	28.026	1016	OK	16-01-2025	11:07:28.491	28.236	21.991	OK			
16-01-2025	11:07:29.281	29.027	16.659691	31.673000	221	0	OK	16-01-2025	11:07:29.281	29.027	21.995	OK	16-01-2025	11:07:29.281	29.027	1016	OK	16-01-2025	11:07:29.493	29.238	21.996	OK			
16-01-2025	11:07:30.282	30.027	16.686413	31.658001	221	0	OK	16-01-2025	11:07:30.282	30.027	21.989	OK	16-01-2025	11:07:30.282	30.027	1016	OK	16-01-2025	11:07:30.493	30.238	21.989	OK			
16-01-2025	11:07:31.285	31.030	16.682955	31.658001	221	0	OK	16-01-2025	11:07:31.285	31.030	21.995	OK	16-01-2025	11:07:31.285	31.030	1016	OK	16-01-2025	11:07:31.495	31.240	21.991	OK			
16-01-2025	11:07:32.283	32.029	16.676535	31.664000	221	0	OK	16-01-2025	11:07:32.283	32.029	21.990	OK	16-01-2025	11:07:32.283	32.029	1016	OK	16-01-2025	11:07:32.496	32.242	21.996	OK			
16-01-2025	11:07:33.284	33.029	16.680294	31.656000	221	0	OK	16-01-2025	11:07:33.284	33.029	22.005	OK	16-01-2025	11:07:33.284	33.029	1016	OK	16-01-2025	11:07:33.495	33.241	22.009	OK			
16-01-2025	11:07:34.284	34.029	16.671785	31.660000	221	0	OK	16-01-2025	11:07:34.284	34.029	22.009	OK	16-01-2025	11:07:34.284	34.029	1016	OK	16-01-2025	11:07:34.496	34.241	22.011	OK			
