#--- Experiment --------------------------------------------------------------------------																									
#AE-426-1-Ch2																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																									
#LAPTOP-78SJC00Q																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [] FSO2-C2 SN:2411E508596FD904 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [ Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	09.12.2024	23.01.2025	7.210000	48.775532	0.827000	0.075000	470	-0.350000	0.874000	0.584000	0.000000	-0.000106	0.000000	0.000000	fixed f	998.699000	20.952000	100.000000	24.876867	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [ T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [ P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [ T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [ Ch.2 Main]	Time [ Ch.2 Main]	 dt (s) [ Ch.2 Main]	Oxygen (µmol/L) [ Ch.2 Main]	dphi (°) [ Ch.2 Main]	Signal Intensity (mV) [ Ch.2 Main]	Ambient Light (mV) [ Ch.2 Main]	Status [ Ch.2 Main]	Date [ Ch.2 CompT]	Time [ Ch.2 CompT]	 dt (s) [ Ch.2 CompT]	Sample Temp. (°C) [ Ch.2 CompT]	Status [ Ch.2 CompT]	Date [ Ch.2 CompP]	Time [ Ch.2 CompP]	 dt (s) [ Ch.2 CompP]	Pressure (mbar) [ Ch.2 CompP]	Status [ Ch.2 CompP]	Date [ T1]	Time [ T1]	 dt (s) [ T1]	Sample Temp. (°C) [ T1]	Status [ T1]	Date [Comment]	Time [Comment]	Comment
24-01-2025	10:07:55.467	0.169	11.519318	34.120998	242	0	OK	24-01-2025	10:07:55.467	0.169	24.627	OK	24-01-2025	10:07:55.467	0.169	989	OK	24-01-2025	10:07:55.337	0.039	24.628	OK			
24-01-2025	10:07:56.467	1.169	11.531589	34.112000	242	0	OK	24-01-2025	10:07:56.467	1.169	24.623	OK	24-01-2025	10:07:56.467	1.169	989	OK	24-01-2025	10:07:56.336	1.038	24.621	OK			
24-01-2025	10:07:57.468	2.170	11.541898	34.105000	242	0	OK	24-01-2025	10:07:57.468	2.170	24.618	OK	24-01-2025	10:07:57.468	2.170	989	OK	24-01-2025	10:07:57.336	2.038	24.616	OK			
24-01-2025	10:07:58.467	3.169	11.558100	34.090000	242	0	OK	24-01-2025	10:07:58.467	3.169	24.622	OK	24-01-2025	10:07:58.467	3.169	989	OK	24-01-2025	10:07:58.336	3.038	24.624	OK			
24-01-2025	10:07:59.469	4.171	11.570311	34.076000	242	0	OK	24-01-2025	10:07:59.469	4.171	24.633	OK	24-01-2025	10:07:59.469	4.171	989	OK	24-01-2025	10:07:59.337	4.039	24.632	OK			
24-01-2025	10:08:00.468	5.170	11.575417	34.069000	241	0	OK	24-01-2025	10:08:00.468	5.170	24.641	OK	24-01-2025	10:08:00.468	5.170	989	OK	24-01-2025	10:08:00.337	5.039	24.637	OK			
24-01-2025	10:08:01.469	6.171	11.588550	34.061001	241	0	OK	24-01-2025	10:08:01.469	6.171	24.632	OK	24-01-2025	10:08:01.469	6.171	989	OK	24-01-2025	10:08:01.336	6.038	24.634	OK			
24-01-2025	10:08:02.469	7.171	11.617955	34.037998	241	0	OK	24-01-2025	10:08:02.469	7.171	24.627	OK	24-01-2025	10:08:02.469	7.171	989	OK	24-01-2025	10:08:02.341	7.043	24.627	OK			
24-01-2025	10:08:03.470	8.172	11.619108	34.035000	241	0	OK	24-01-2025	10:08:03.470	8.172	24.633	OK	24-01-2025	10:08:03.470	8.172	989	OK	24-01-2025	10:08:03.338	8.040	24.633	OK			
24-01-2025	10:08:04.470	9.172	11.630242	34.026001	241	0	OK	24-01-2025	10:08:04.470	9.172	24.632	OK	24-01-2025	10:08:04.470	9.172	989	OK	24-01-2025	10:08:04.338	9.040	24.632	OK			
24-01-2025	10:08:05.470	10.173	11.650512	34.007999	241	0	OK	24-01-2025	10:08:05.470	10.173	24.635	OK	24-01-2025	10:08:05.470	10.173	989	OK	24-01-2025	10:08:05.339	10.041	24.635	OK			
24-01-2025	10:08:06.470	11.172	11.662436	33.997002	241	0	OK	24-01-2025	10:08:06.470	11.172	24.638	OK	24-01-2025	10:08:06.470	11.172	989	OK	24-01-2025	10:08:06.340	11.042	24.638	OK			
24-01-2025	10:08:07.469	12.171	11.672386	33.987999	241	0	OK	24-01-2025	10:08:07.469	12.171	24.640	OK	24-01-2025	10:08:07.469	12.171	989	OK	24-01-2025	10:08:07.339	12.041	24.640	OK			
