#--- Experiment --------------------------------------------------------------------------																									
#AE-402-2-Ch2																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.5.3.2466   www.pyroscience.com																									
#IOMC368																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [A] FSO2-C2 SN:24110001 UiD:2411E508596FD904 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	09.12.2024	09.12.2024	7.210000	50.221000	0.827000	0.075000	470	-0.350000	0.874000	0.584000	0.000000	-0.000106	0.000000	0.000000	fixed f	998.699000	20.952000	100.000000	19.940000	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (µmol/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
11-12-2024	14:10:58.952	0.725	0.280554	49.727001	354	0	OK	11-12-2024	14:10:58.952	0.725	20.019	OK	11-12-2024	14:10:58.952	0.725	1008	OK	11-12-2024	14:10:58.280	0.053	20.018	OK			
11-12-2024	14:10:59.952	1.725	0.280422	49.727001	354	0	OK	11-12-2024	14:10:59.952	1.725	20.021	OK	11-12-2024	14:10:59.952	1.725	1008	OK	11-12-2024	14:10:59.280	1.054	20.017	OK			
11-12-2024	14:11:00.952	2.725	0.280096	49.727001	354	0	OK	11-12-2024	14:11:00.952	2.725	20.026	OK	11-12-2024	14:11:00.952	2.725	1008	OK	11-12-2024	14:11:00.282	2.055	20.019	OK			
11-12-2024	14:11:01.953	3.726	0.282689	49.723000	354	0	OK	11-12-2024	14:11:01.953	3.726	20.022	OK	11-12-2024	14:11:01.953	3.726	1008	OK	11-12-2024	14:11:01.283	3.056	20.024	OK			
11-12-2024	14:11:02.955	4.728	0.284503	49.720001	354	0	OK	11-12-2024	14:11:02.955	4.728	20.021	OK	11-12-2024	14:11:02.955	4.728	1008	OK	11-12-2024	14:11:02.283	4.056	20.021	OK			
11-12-2024	14:11:03.956	5.729	0.285415	49.719002	354	0	OK	11-12-2024	14:11:03.956	5.729	20.016	OK	11-12-2024	14:11:03.956	5.729	1008	OK	11-12-2024	14:11:03.284	5.057	20.020	OK			
11-12-2024	14:11:04.958	6.731	0.290983	49.709000	354	0	OK	11-12-2024	14:11:04.958	6.731	20.020	OK	11-12-2024	14:11:04.958	6.731	1008	OK	11-12-2024	14:11:04.285	6.058	20.015	OK			
11-12-2024	14:11:05.956	7.729	0.293313	49.705002	354	0	OK	11-12-2024	14:11:05.956	7.729	20.020	OK	11-12-2024	14:11:05.956	7.729	1008	OK	11-12-2024	14:11:05.285	7.058	20.018	OK			
11-12-2024	14:11:06.957	8.730	0.293769	49.703999	354	0	OK	11-12-2024	14:11:06.957	8.730	20.022	OK	11-12-2024	14:11:06.957	8.730	1008	OK	11-12-2024	14:11:06.284	8.058	20.021	OK			
11-12-2024	14:11:07.956	9.729	0.294618	49.702999	354	0	OK	11-12-2024	14:11:07.956	9.729	20.018	OK	11-12-2024	14:11:07.956	9.729	1008	OK	11-12-2024	14:11:07.285	9.058	20.022	OK			
11-12-2024	14:11:08.959	10.732	0.294935	49.702000	354	0	OK	11-12-2024	14:11:08.959	10.732	20.022	OK	11-12-2024	14:11:08.959	10.732	1008	OK	11-12-2024	14:11:08.285	10.058	20.021	OK			
11-12-2024	14:11:09.958	11.731	0.294805	49.702000	354	0	OK	11-12-2024	14:11:09.958	11.731	20.024	OK	11-12-2024	14:11:09.958	11.731	1008	OK	11-12-2024	14:11:09.284	11.057	20.022	OK			
11-12-2024	14:11:10.960	12.733	0.298889	49.695000	354	0	OK	11-12-2024	14:11:10.960	12.733	20.024	OK	11-12-2024	14:11:10.960	12.733	1008	OK	11-12-2024	14:11:10.285	12.058	20.022	OK			
