#--- Experiment --------------------------------------------------------------------------																									
#AE-402-3-Ch2																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.5.3.2466   www.pyroscience.com																									
#IOMC368																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [A] FSO2-C2 SN:24110001 UiD:2411E508596FD904 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	09.12.2024	09.12.2024	7.210000	50.221000	0.827000	0.075000	470	-0.350000	0.874000	0.584000	0.000000	-0.000106	0.000000	0.000000	fixed f	998.699000	20.952000	100.000000	19.940000	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [A P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [A T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [A Ch.2 Main]	Time [A Ch.2 Main]	 dt (s) [A Ch.2 Main]	Oxygen (µmol/L) [A Ch.2 Main]	dphi (°) [A Ch.2 Main]	Signal Intensity (mV) [A Ch.2 Main]	Ambient Light (mV) [A Ch.2 Main]	Status [A Ch.2 Main]	Date [A Ch.2 CompT]	Time [A Ch.2 CompT]	 dt (s) [A Ch.2 CompT]	Sample Temp. (°C) [A Ch.2 CompT]	Status [A Ch.2 CompT]	Date [A Ch.2 CompP]	Time [A Ch.2 CompP]	 dt (s) [A Ch.2 CompP]	Pressure (mbar) [A Ch.2 CompP]	Status [A Ch.2 CompP]	Date [A T1]	Time [A T1]	 dt (s) [A T1]	Sample Temp. (°C) [A T1]	Status [A T1]	Date [Comment]	Time [Comment]	Comment
11-12-2024	14:22:07.373	0.217	0.435508	49.458000	353	0	OK	11-12-2024	14:22:07.373	0.217	20.058	OK	11-12-2024	14:22:07.373	0.217	1008	OK	11-12-2024	14:22:07.260	0.104	20.059	OK			
11-12-2024	14:22:08.372	1.216	0.439843	49.451000	353	0	OK	11-12-2024	14:22:08.372	1.216	20.055	OK	11-12-2024	14:22:08.372	1.216	1008	OK	11-12-2024	14:22:08.259	1.104	20.054	OK			
11-12-2024	14:22:09.373	2.218	0.435367	49.458000	353	0	OK	11-12-2024	14:22:09.373	2.218	20.060	OK	11-12-2024	14:22:09.373	2.218	1008	OK	11-12-2024	14:22:09.259	2.104	20.060	OK			
11-12-2024	14:22:10.373	3.217	0.435367	49.458000	353	0	OK	11-12-2024	14:22:10.373	3.217	20.060	OK	11-12-2024	14:22:10.373	3.217	1007	OK	11-12-2024	14:22:10.259	3.103	20.059	OK			
11-12-2024	14:22:11.371	4.215	0.436405	49.456001	353	0	OK	11-12-2024	14:22:11.371	4.215	20.062	OK	11-12-2024	14:22:11.371	4.215	1007	OK	11-12-2024	14:22:11.263	4.108	20.061	OK			
11-12-2024	14:22:12.374	5.218	0.434611	49.459999	353	0	OK	11-12-2024	14:22:12.374	5.218	20.054	OK	11-12-2024	14:22:12.374	5.218	1008	OK	11-12-2024	14:22:12.264	5.108	20.052	OK			
11-12-2024	14:22:13.373	6.217	0.434164	49.460999	353	0	OK	11-12-2024	14:22:13.373	6.217	20.052	OK	11-12-2024	14:22:13.373	6.217	1008	OK	11-12-2024	14:22:13.262	6.107	20.049	OK			
11-12-2024	14:22:14.373	7.217	0.431483	49.464001	353	0	OK	11-12-2024	14:22:14.373	7.217	20.065	OK	11-12-2024	14:22:14.373	7.217	1008	OK	11-12-2024	14:22:14.270	7.114	20.063	OK			
11-12-2024	14:22:15.373	8.218	0.435114	49.457001	353	0	OK	11-12-2024	14:22:15.373	8.218	20.072	OK	11-12-2024	14:22:15.373	8.218	1007	OK	11-12-2024	14:22:15.279	8.123	20.067	OK			
11-12-2024	14:22:16.374	9.219	0.432004	49.463001	353	0	OK	11-12-2024	14:22:16.374	9.219	20.066	OK	11-12-2024	14:22:16.374	9.219	1008	OK	11-12-2024	14:22:16.280	9.125	20.066	OK			
11-12-2024	14:22:17.377	10.222	0.432454	49.462002	353	0	OK	11-12-2024	14:22:17.377	10.222	20.068	OK	11-12-2024	14:22:17.377	10.222	1008	OK	11-12-2024	14:22:17.281	10.125	20.068	OK			
11-12-2024	14:22:18.377	11.221	0.434638	49.459000	353	0	OK	11-12-2024	14:22:18.377	11.221	20.062	OK	11-12-2024	14:22:18.377	11.221	1007	OK	11-12-2024	14:22:18.280	11.124	20.062	OK			
11-12-2024	14:22:19.378	12.222	0.431458	49.465000	353	0	OK	11-12-2024	14:22:19.378	12.222	20.057	OK	11-12-2024	14:22:19.378	12.222	1008	OK	11-12-2024	14:22:19.280	12.125	20.057	OK			
11-12-2024	14:22:20.379	13.224	0.438807	49.452999	353	0	OK	11-12-2024	14:22:20.379	13.224	20.053	OK	11-12-2024	14:22:20.379	13.224	1007	OK	11-12-2024	14:22:20.283	13.127	20.053	OK			
11-12-2024	14:22:21.379	14.223	0.436351	49.458000	353	0	OK	11-12-2024	14:22:21.379	14.223	20.046	OK	11-12-2024	14:22:21.379	14.223	1007	OK	11-12-2024	14:22:21.281	14.126	20.046	OK			
11-12-2024	14:22:22.378	15.223	0.438947	49.452999	353	0	OK	11-12-2024	14:22:22.378	15.223	20.051	OK	11-12-2024	14:22:22.378	15.223	1008	OK	11-12-2024	14:22:22.281	15.126	20.051	OK			
11-12-2024	14:22:23.380	16.224	0.438527	49.452999	353	0	OK	11-12-2024	14:22:23.380	16.224	20.057	OK	11-12-2024	14:22:23.380	16.224	1007	OK	11-12-2024	14:22:23.283	16.127	20.057	OK			
11-12-2024	14:22:24.380	17.224	0.434751	49.459999	353	0	OK	11-12-2024	14:22:24.380	17.224	20.052	OK	11-12-2024	14:22:24.380	17.224	1007	OK	11-12-2024	14:22:24.282	17.126	20.052	OK			
11-12-2024	14:22:25.379	18.223	0.436872	49.457001	353	0	OK	11-12-2024	14:22:25.379	18.223	20.047	OK	11-12-2024	14:22:25.379	18.223	1007	OK	11-12-2024	14:22:25.283	18.128	20.047	OK			
11-12-2024	14:22:26.382	19.226	0.433896	49.463001	353	0	OK	11-12-2024	14:22:26.382	19.226	20.039	OK	11-12-2024	14:22:26.382	19.226	1007	OK	11-12-2024	14:22:26.284	19.128	20.039	OK			
11-12-2024	14:22:27.383	20.228	0.436942	49.457001	353	0	OK	11-12-2024	14:22:27.383	20.228	20.046	OK	11-12-2024	14:22:27.383	20.228	1007	OK	11-12-2024	14:22:27.282	20.126	20.044	OK			
11-12-2024	14:22:28.382	21.226	0.438877	49.452999	353	0	OK	11-12-2024	14:22:28.382	21.226	20.052	OK	11-12-2024	14:22:28.382	21.226	1007	OK	11-12-2024	14:22:28.282	21.127	20.052	OK			
11-12-2024	14:22:29.378	22.223	0.433503	49.462002	353	0	OK	11-12-2024	14:22:29.378	22.223	20.053	OK	11-12-2024	14:22:29.378	22.223	1007	OK	11-12-2024	14:22:29.282	22.126	20.052	OK			
11-12-2024	14:22:30.379	23.224	0.439040	49.452000	353	0	OK	11-12-2024	14:22:30.379	23.224	20.058	OK	11-12-2024	14:22:30.379	23.224	1007	OK	11-12-2024	14:22:30.284	23.128	20.060	OK			
11-12-2024	14:22:31.381	24.226	0.434964	49.459999	353	0	OK	11-12-2024	14:22:31.381	24.226	20.049	OK	11-12-2024	14:22:31.381	24.226	1007	OK	11-12-2024	14:22:31.283	24.127	20.052	OK			
11-12-2024	14:22:32.380	25.224	0.434164	49.460999	353	0	OK	11-12-2024	14:22:32.380	25.224	20.052	OK	11-12-2024	14:22:32.380	25.224	1008	OK	11-12-2024	14:22:32.284	25.128	20.054	OK			
11-12-2024	14:22:33.382	26.226	0.435175	49.459999	353	0	OK	11-12-2024	14:22:33.382	26.226	20.046	OK	11-12-2024	14:22:33.382	26.226	1008	OK	11-12-2024	14:22:33.286	26.131	20.049	OK			
11-12-2024	14:22:34.380	27.224	0.437036	49.456001	353	0	OK	11-12-2024	14:22:34.380	27.224	20.053	OK	11-12-2024	14:22:34.380	27.224	1008	OK	11-12-2024	14:22:34.284	27.128	20.046	OK			
11-12-2024	14:22:35.381	28.226	0.436168	49.457001	353	0	OK	11-12-2024	14:22:35.381	28.226	20.057	OK	11-12-2024	14:22:35.381	28.226	1008	OK	11-12-2024	14:22:35.286	28.130	20.054	OK			
11-12-2024	14:22:36.383	29.227	0.433673	49.460999	353	0	OK	11-12-2024	14:22:36.383	29.227	20.059	OK	11-12-2024	14:22:36.383	29.227	1008	OK	11-12-2024	14:22:36.286	29.130	20.060	OK			
11-12-2024	14:22:37.383	30.227	0.438971	49.452000	353	0	OK	11-12-2024	14:22:37.383	30.227	20.059	OK	11-12-2024	14:22:37.383	30.227	1008	OK	11-12-2024	14:22:37.285	30.130	20.059	OK			
11-12-2024	14:22:38.382	31.227	0.439251	49.452000	353	0	OK	11-12-2024	14:22:38.382	31.227	20.055	OK	11-12-2024	14:22:38.382	31.227	1008	OK	11-12-2024	14:22:38.287	31.131	20.055	OK			
11-12-2024	14:22:39.385	32.229	0.439673	49.452000	353	0	OK	11-12-2024	14:22:39.385	32.229	20.049	OK	11-12-2024	14:22:39.385	32.229	1008	OK	11-12-2024	14:22:39.286	32.130	20.049	OK			
11-12-2024	14:22:40.387	33.231	0.439440	49.452999	353	0	OK	11-12-2024	14:22:40.387	33.231	20.044	OK	11-12-2024	14:22:40.387	33.231	1008	OK	11-12-2024	14:22:40.287	33.132	20.044	OK			
11-12-2024	14:22:41.387	34.231	0.437219	49.457001	353	0	OK	11-12-2024	14:22:41.387	34.231	20.042	OK	11-12-2024	14:22:41.387	34.231	1008	OK	11-12-2024	14:22:41.288	34.132	20.042	OK			
11-12-2024	14:22:42.389	35.234	0.437219	49.457001	353	0	OK	11-12-2024	14:22:42.389	35.234	20.042	OK	11-12-2024	14:22:42.389	35.234	1007	OK	11-12-2024	14:22:42.289	35.133	20.042	OK			
11-12-2024	14:22:43.387	36.231	0.436041	49.459000	353	0	OK	11-12-2024	14:22:43.387	36.231	20.042	OK	11-12-2024	14:22:43.387	36.231	1008	OK	11-12-2024	14:22:43.290	36.134	20.042	OK			
11-12-2024	14:22:44.387	37.232	0.438918	49.453999	353	0	OK	11-12-2024	14:22:44.387	37.232	20.043	OK	11-12-2024	14:22:44.387	37.232	1007	OK	11-12-2024	14:22:44.291	37.136	20.043	OK			
11-12-2024	14:22:45.389	38.233	0.439202	49.453999	353	0	OK	11-12-2024	14:22:45.389	38.233	20.039	OK	11-12-2024	14:22:45.389	38.233	1008	OK	11-12-2024	14:22:45.293	38.138	20.039	OK			
11-12-2024	14:22:46.391	39.236	0.439913	49.451000	353	0	OK	11-12-2024	14:22:46.391	39.236	20.054	OK	11-12-2024	14:22:46.391	39.236	1007	OK	11-12-2024	14:22:46.294	39.138	20.054	OK			
11-12-2024	14:22:47.390	40.235	0.438947	49.452999	353	0	OK	11-12-2024	14:22:47.390	40.235	20.051	OK	11-12-2024	14:22:47.390	40.235	1008	OK	11-12-2024	14:22:47.293	40.138	20.049	OK			
11-12-2024	14:22:48.391	41.235	0.437386	49.456001	353	0	OK	11-12-2024	14:22:48.391	41.235	20.048	OK	11-12-2024	14:22:48.391	41.235	1008	OK	11-12-2024	14:22:48.292	41.136	20.045	OK			
11-12-2024	14:22:49.392	42.237	0.441583	49.449001	353	0	OK	11-12-2024	14:22:49.392	42.237	20.047	OK	11-12-2024	14:22:49.392	42.237	1008	OK	11-12-2024	14:22:49.294	42.138	20.049	OK			
11-12-2024	14:22:50.393	43.237	0.441442	49.449001	353	0	OK	11-12-2024	14:22:50.393	43.237	20.049	OK	11-12-2024	14:22:50.393	43.237	1008	OK	11-12-2024	14:22:50.294	43.138	20.047	OK			
11-12-2024	14:22:51.392	44.237	0.443024	49.445000	353	0	OK	11-12-2024	14:22:51.392	44.237	20.060	OK	11-12-2024	14:22:51.392	44.237	1008	OK	11-12-2024	14:22:51.294	44.138	20.055	OK			
11-12-2024	14:22:52.392	45.236	0.439157	49.452999	353	0	OK	11-12-2024	14:22:52.392	45.236	20.048	OK	11-12-2024	14:22:52.392	45.236	1007	OK	11-12-2024	14:22:52.295	45.139	20.052	OK			
11-12-2024	14:22:53.392	46.236	0.438737	49.452999	353	0	OK	11-12-2024	14:22:53.392	46.236	20.054	OK	11-12-2024	14:22:53.392	46.236	1008	OK	11-12-2024	14:22:53.294	46.139	20.055	OK			
