#--- Experiment --------------------------------------------------------------------------																									
#AE-418-2-Ch2																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																									
#LAPTOP-78SJC00Q																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [] FSO2-C2 SN:2466C2055D64AD2A Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [ Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	09.12.2024	09.12.2024	7.210001	50.220669	0.827000	0.075000	470	-0.350000	0.874000	0.584349	0.000000	-0.000106	0.000000	0.000000	fixed f	998.698975	20.951933	100.000000	19.940468	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [ T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [ P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [ T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [ Ch.2 Main]	Time [ Ch.2 Main]	 dt (s) [ Ch.2 Main]	Oxygen (µmol/L) [ Ch.2 Main]	dphi (°) [ Ch.2 Main]	Signal Intensity (mV) [ Ch.2 Main]	Ambient Light (mV) [ Ch.2 Main]	Status [ Ch.2 Main]	Date [ Ch.2 CompT]	Time [ Ch.2 CompT]	 dt (s) [ Ch.2 CompT]	Sample Temp. (°C) [ Ch.2 CompT]	Status [ Ch.2 CompT]	Date [ Ch.2 CompP]	Time [ Ch.2 CompP]	 dt (s) [ Ch.2 CompP]	Pressure (mbar) [ Ch.2 CompP]	Status [ Ch.2 CompP]	Date [ T1]	Time [ T1]	 dt (s) [ T1]	Sample Temp. (°C) [ T1]	Status [ T1]	Date [Comment]	Time [Comment]	Comment
16-01-2025	12:00:37.890	-0.066	0.480885	48.816002	326	0	OK	16-01-2025	12:00:37.890	-0.066	24.667	OK	16-01-2025	12:00:37.890	-0.066	1016	OK	16-01-2025	12:00:38.101	0.146	24.673	OK			
16-01-2025	12:00:38.890	0.934	0.479710	48.817001	326	0	OK	16-01-2025	12:00:38.890	0.934	24.677	OK	16-01-2025	12:00:38.890	0.934	1016	OK	16-01-2025	12:00:39.100	1.145	24.681	OK			
16-01-2025	12:00:39.890	1.935	0.475645	48.824001	326	0	OK	16-01-2025	12:00:39.890	1.935	24.683	OK	16-01-2025	12:00:39.890	1.935	1016	OK	16-01-2025	12:00:40.103	2.147	24.687	OK			
16-01-2025	12:00:40.891	2.935	0.477287	48.820999	326	0	OK	16-01-2025	12:00:40.891	2.935	24.682	OK	16-01-2025	12:00:40.891	2.935	1016	OK	16-01-2025	12:00:41.101	3.146	24.684	OK			
16-01-2025	12:00:41.891	3.936	0.479908	48.816002	326	0	OK	16-01-2025	12:00:41.891	3.936	24.682	OK	16-01-2025	12:00:41.891	3.936	1016	OK	16-01-2025	12:00:42.102	4.147	24.683	OK			
16-01-2025	12:00:42.892	4.936	0.475383	48.825001	326	0	OK	16-01-2025	12:00:42.892	4.936	24.679	OK	16-01-2025	12:00:42.892	4.936	1016	OK	16-01-2025	12:00:43.105	5.149	24.681	OK			
16-01-2025	12:00:43.892	5.936	0.474604	48.825001	326	0	OK	16-01-2025	12:00:43.892	5.936	24.691	OK	16-01-2025	12:00:43.892	5.936	1016	OK	16-01-2025	12:00:44.101	6.146	24.690	OK			
16-01-2025	12:00:44.892	6.936	0.476376	48.820999	326	0	OK	16-01-2025	12:00:44.892	6.936	24.696	OK	16-01-2025	12:00:44.892	6.936	1016	OK	16-01-2025	12:00:45.103	7.147	24.694	OK			
16-01-2025	12:00:45.894	7.938	0.474539	48.825001	326	0	OK	16-01-2025	12:00:45.894	7.938	24.692	OK	16-01-2025	12:00:45.894	7.938	1016	OK	16-01-2025	12:00:46.103	8.148	24.690	OK			
16-01-2025	12:00:46.894	8.938	0.475386	48.824001	326	0	OK	16-01-2025	12:00:46.894	8.938	24.687	OK	16-01-2025	12:00:46.894	8.938	1016	OK	16-01-2025	12:00:47.104	9.148	24.690	OK			
16-01-2025	12:00:47.894	9.939	0.477025	48.820999	326	0	OK	16-01-2025	12:00:47.894	9.939	24.686	OK	16-01-2025	12:00:47.894	9.939	1016	OK	16-01-2025	12:00:48.104	10.149	24.682	OK			
16-01-2025	12:00:48.893	10.938	0.477745	48.820000	326	0	OK	16-01-2025	12:00:48.893	10.938	24.683	OK	16-01-2025	12:00:48.893	10.938	1016	OK	16-01-2025	12:00:49.106	11.150	24.683	OK			
16-01-2025	12:00:49.895	11.940	0.475580	48.824001	326	0	OK	16-01-2025	12:00:49.895	11.940	24.684	OK	16-01-2025	12:00:49.895	11.940	1016	OK	16-01-2025	12:00:50.106	12.150	24.685	OK			
