#--- Experiment --------------------------------------------------------------------------																									
#AE-426-2-Ch2																									
#																									
#--- System ------------------------------------------------------------------------------																									
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																									
#LAPTOP-78SJC00Q																									
#--- Instrument --------------------------------------------------------------------------																									
#Device: FireSting-O2 [] FSO2-C2 SN:2411E508596FD904 Firmware:4.11 Build:001																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [ Ch.2] - Oxygen Sensor - UC7-506-067 																									
#--- Settings & Calibration --------------------------------------------------------------																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	1000	External Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.375000					
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)					
#	09.12.2024	23.01.2025	7.210000	48.775532	0.827000	0.075000	470	-0.350000	0.874000	0.584000	0.000000	-0.000106	0.000000	0.000000	fixed f	998.699000	20.952000	100.000000	24.876867	20.950000					
#--- Temperature Compensation Channel ----------------------------------------------------																									
#Compensation Channel [ T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Pressure Compensation Channel -------------------------------------------------------																									
#Compensation Channel [ P1] - Internal Pressure Sensor																									
#Settings: n/a																									
#Calibration: n/a																									
#--- Channel -----------------------------------------------------------------------------																									
#Channel [ T1] - PT100 Temperature Sensor - Calibration offset = 0.00°C																									
#--- Measurement Data --------------------------------------------------------------------																									
Date [ Ch.2 Main]	Time [ Ch.2 Main]	 dt (s) [ Ch.2 Main]	Oxygen (µmol/L) [ Ch.2 Main]	dphi (°) [ Ch.2 Main]	Signal Intensity (mV) [ Ch.2 Main]	Ambient Light (mV) [ Ch.2 Main]	Status [ Ch.2 Main]	Date [ Ch.2 CompT]	Time [ Ch.2 CompT]	 dt (s) [ Ch.2 CompT]	Sample Temp. (°C) [ Ch.2 CompT]	Status [ Ch.2 CompT]	Date [ Ch.2 CompP]	Time [ Ch.2 CompP]	 dt (s) [ Ch.2 CompP]	Pressure (mbar) [ Ch.2 CompP]	Status [ Ch.2 CompP]	Date [ T1]	Time [ T1]	 dt (s) [ T1]	Sample Temp. (°C) [ T1]	Status [ T1]	Date [Comment]	Time [Comment]	Comment
24-01-2025	10:37:35.940	0.195	0.111529	48.577000	329	0	OK	24-01-2025	10:37:35.940	0.195	24.752	OK	24-01-2025	10:37:35.940	0.195	989	OK	24-01-2025	10:37:35.783	0.038	24.752	OK			
24-01-2025	10:37:36.942	1.197	0.107790	48.583000	329	0	OK	24-01-2025	10:37:36.942	1.197	24.762	OK	24-01-2025	10:37:36.942	1.197	989	OK	24-01-2025	10:37:36.782	1.037	24.762	OK			
24-01-2025	10:37:37.942	2.197	0.108184	48.583000	329	0	OK	24-01-2025	10:37:37.942	2.197	24.755	OK	24-01-2025	10:37:37.942	2.197	989	OK	24-01-2025	10:37:37.784	2.039	24.755	OK			
24-01-2025	10:37:38.942	3.197	0.112698	48.575001	329	0	OK	24-01-2025	10:37:38.942	3.197	24.750	OK	24-01-2025	10:37:38.942	3.197	989	OK	24-01-2025	10:37:38.783	3.038	24.750	OK			
24-01-2025	10:37:39.942	4.197	0.113229	48.574001	329	0	OK	24-01-2025	10:37:39.942	4.197	24.750	OK	24-01-2025	10:37:39.942	4.197	989	OK	24-01-2025	10:37:39.782	4.037	24.751	OK			
24-01-2025	10:37:40.942	5.197	0.115789	48.568001	329	0	OK	24-01-2025	10:37:40.942	5.197	24.761	OK	24-01-2025	10:37:40.942	5.197	989	OK	24-01-2025	10:37:40.783	5.038	24.760	OK			
24-01-2025	10:37:41.942	6.197	0.115145	48.569000	329	0	OK	24-01-2025	10:37:41.942	6.197	24.763	OK	24-01-2025	10:37:41.942	6.197	989	OK	24-01-2025	10:37:41.783	6.038	24.763	OK			
24-01-2025	10:37:42.941	7.196	0.118015	48.563999	329	0	OK	24-01-2025	10:37:42.941	7.196	24.759	OK	24-01-2025	10:37:42.941	7.196	989	OK	24-01-2025	10:37:42.783	7.038	24.764	OK			
24-01-2025	10:37:43.943	8.198	0.119246	48.562000	329	0	OK	24-01-2025	10:37:43.943	8.198	24.756	OK	24-01-2025	10:37:43.943	8.198	989	OK	24-01-2025	10:37:43.783	8.038	24.759	OK			
24-01-2025	10:37:44.942	9.197	0.119190	48.562000	329	0	OK	24-01-2025	10:37:44.942	9.197	24.757	OK	24-01-2025	10:37:44.942	9.197	989	OK	24-01-2025	10:37:44.783	9.038	24.758	OK			
24-01-2025	10:37:45.942	10.197	0.123844	48.553001	329	0	OK	24-01-2025	10:37:45.942	10.197	24.759	OK	24-01-2025	10:37:45.942	10.197	989	OK	24-01-2025	10:37:45.784	10.039	24.758	OK			
24-01-2025	10:37:46.942	11.197	0.121782	48.556999	329	0	OK	24-01-2025	10:37:46.942	11.197	24.758	OK	24-01-2025	10:37:46.942	11.197	989	OK	24-01-2025	10:37:46.785	11.040	24.760	OK			
24-01-2025	10:37:47.943	12.198	0.122253	48.556000	329	0	OK	24-01-2025	10:37:47.943	12.198	24.759	OK	24-01-2025	10:37:47.943	12.198	989	OK	24-01-2025	10:37:47.785	12.040	24.756	OK			
